model,price,depreciation,registration_date,manufactured_year,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,types,status,posted_date,updated_date,maker
Porsche Macan 2.0A PDK,360000,33450,2022-10-21,2022,3900,1194,Auto,152623,61799,113299,83239,1984,195,1920,SUV,AVAIL,2023-04-10,2023-04-11,PORSCHE
Toyota Vellfire 3.5A Z G-Edition Moonroof,243800,38650,2018-09-21,2018,43000,3100,Auto,68261,53119,32311,67615,3456,221,2110,MPV,AVAIL,2023-04-14,2023-04-14,TOYOTA
Saab 9-3 2.0T Linear (COE till 03/2029),59900,10050,2009-06-17,2007,147200,1694,Auto,19666,31502,33018,31502,1998,110,1460,Luxury Sedan,AVAIL,2023-04-06,2023-04-13,SAAB
Subaru Forester 2.0A XT Sunroof,76800,17230,2017-03-24,2016,104017,1210,Auto,32666,18017,53300,18017,1998,177,1682,SUV,AVAIL,2023-04-11,2023-04-17,SUBARU
Mitsubishi Outlander 2.0A,115800,17120,2019-06-21,2018,46292,1210,Auto,41247,19919,42564,19919,1998,110,1480,SUV,AVAIL,2023-04-13,2023-04-17,MITSUBISHI
Mercedes-Benz SLK-Class SLK200 (COE till 10/2031),128000,14980,2011-11-08,2011,120000,1169,Auto,51755,54305,60586,54305,1796,135,1470,Sports Car,AVAIL,2023-03-28,2023-03-28,MERCEDES-BENZ
BMW Z4 sDrive23i (COE till 02/2032),130888,14750,2012-03-30,2011,83000,1976,Auto,71509,44174,80583,44174,2497,150,1430,Sports Car,AVAIL,2023-04-04,2023-04-11,BMW
Honda Civic 1.5A VTEC Turbo,144888,14930,2022-01-18,2021,3387,684,Auto,71574,25832,57599,28165,1498,95,1284,Mid-Sized Sedan,AVAIL,2023-04-13,2023-04-13,HONDA
Mercedes-Benz CLS-Class CLS350 Coupe Mild Hybrid Sunroof,248649,30485,2019-12-04,2019,45769,1202,Auto,117899,83654,40009,122578,1991,230,1765,Luxury Sedan,SOLD,2023-04-09,2023-04-14,MERCEDES-BENZ
BMW 3 Series 328i Gran Turismo Sunroof,94800,20410,2016-06-21,2013,40000,1210,Auto,56405,48491,55100,59888,1997,180,1670,Luxury Sedan,AVAIL,2023-04-06,2023-04-06,BMW
Toyota Sienta 1.5A X (COE till 06/2027),58800,13980,2008-06-20,2008,106867,1023,Auto,21276,15324,50625,15324,1496,81,1210,MPV,AVAIL,2023-03-30,2023-03-30,TOYOTA
Mercedes-Benz C-Class C180,33000,24460,2014-01-24,2013,104080,740,Auto,19844,29525,74002,28335,1595,115,1485,Luxury Sedan,AVAIL,2023-04-03,2023-04-04,MERCEDES-BENZ
Honda Jazz 1.5A RS,57316,13837,2017-06-07,2016,84953,684,Auto,27198,17910,50789,12910,1498,96,1046,Hatchback,SOLD,2023-03-25,2023-04-15,HONDA
Audi A4 1.8A TFSI MU,32800,18400,2014-06-18,2014,91000,976,Auto,20276,28964,67304,22550,1798,125,1545,Luxury Sedan,AVAIL,2023-04-17,2023-04-17,AUDI
Mercedes-Benz E-Class E200K (COE till 01/2027),45800,12320,2007-01-04,2006,118375,1461,Auto,19564,52568,52660,57825,1796,135,1540,Luxury Sedan,AVAIL,2023-03-31,2023-04-14,MERCEDES-BENZ
Volkswagen Polo 1.2A TSI (COE till 08/2030),81818,12508,2010-10-06,2010,68832,660,Auto,31830,17055,32190,17055,1197,77,1126,Hatchback,SOLD,2023-03-31,2023-04-04,VOLKSWAGEN
BMW X5 xDrive30d 7-Seater Sunroof (New 5-yr COE),160000,31960,2014-01-24,2013,41000,3376,Auto,93131,82381,47281,120286,2993,190,2070,SUV,AVAIL,2023-04-01,2023-04-11,BMW
Subaru XV 1.6i-S,54812,12954,2016-09-30,2016,95137,744,Auto,29396,16678,51506,16678,1600,84,1480,SUV,SOLD,2023-03-27,2023-04-03,SUBARU
Honda Civic 1.5A VTEC Turbo Sunroof,105847,15128,2018-05-21,2018,59636,684,Auto,43302,25692,37330,27969,1498,127,1324,Mid-Sized Sedan,SOLD,2023-04-13,2023-04-16,HONDA
Suzuki Swift Sport 1.6M (COE till 03/2030),75000,10790,2010-03-30,2009,108000,957,Manual,23081,14551,33207,14551,1586,92,1090,Hatchback,AVAIL,2023-04-07,2023-04-14,SUZUKI
BMW X4 xDrive28i Sunroof,112800,22910,2016-11-01,2016,121000,1210,Auto,59895,50701,54200,63262,1997,180,1770,SUV,AVAIL,2023-04-15,2023-04-15,BMW
Jaguar XF 2.0A Prestige,245800,24630,2022-03-21,2021,6500,1210,Auto,110678,42558,98890,51582,1997,184,1782,Luxury Sedan,AVAIL,2023-04-03,2023-04-04,JAGUAR
Nissan X-Trail 2.0A 7-Seater,102444,15734,2016-08-17,2016,71646,1210,Auto,44940,23227,56000,24518,1997,106,1626,SUV,SOLD,2023-04-05,2023-04-15,NISSAN
Honda Shuttle 1.5A G LED,71800,13690,2018-03-23,2017,48000,682,Auto,24716,18522,38000,8522,1496,97,1220,Stationwagon,AVAIL,2023-04-13,2023-04-15,HONDA
Hyundai Elantra 1.6A Elite,46800,13830,2016-02-16,2015,93000,738,Auto,22316,15146,46651,15146,1591,97,1292,Mid-Sized Sedan,AVAIL,2023-04-14,2023-04-14,HYUNDAI
Honda Fit 1.3A G (COE till 05/2024),22333,11346,2009-08-07,2009,162744,826,Auto,3190,14146,13943,14146,1339,73,1010,Hatchback,SOLD,2023-03-29,2023-04-14,HONDA
Honda N-Box Slash GL,128800,14190,2022-03-10,2021,38,326,Auto,55271,17727,57898,5000,658,43,900,Hatchback,AVAIL,2023-04-11,2023-04-17,HONDA
Mitsubishi Lancer EX 1.6A,68166,12001,2017-01-11,2016,89171,738,Auto,27231,13067,52668,13067,1590,86,1284,Mid-Sized Sedan,AVAIL,2023-04-06,2023-04-13,MITSUBISHI
Mercedes-Benz E-Class E200 CGI Coupe (COE till 06/2030),94800,13220,2010-06-18,2010,120352,1266,Auto,24077,56630,33568,56630,1796,135,1560,Sports Car,AVAIL,2023-04-16,2023-04-17,MERCEDES-BENZ
Fiat Bravo 1.4M T-Jet Panoramic Roof (COE till 03/2029),84413,12960,2010-08-03,2010,91135,790,Manual,27782,19749,25525,19749,1368,110,1275,Hatchback,SOLD,2023-04-02,2023-04-06,FIAT
Audi Q5 2.0A TFSI Quattro (COE till 01/2030),141800,20950,2010-01-21,2009,126614,1672,Auto,26694,45636,39463,45636,1984,155,1740,SUV,AVAIL,2023-03-30,2023-04-15,AUDI
Mercedes-Benz E-Class E200 Coupe,166800,26800,2017-12-20,2017,88000,1202,Auto,81393,61607,49996,82893,1991,135,1655,Sports Car,AVAIL,2023-04-01,2023-04-15,MERCEDES-BENZ
Mercedes-Benz E-Class E53 Coupe Mild Hybrid AMG 4MATIC,292800,35370,2019-06-27,2018,30000,2384,Auto,140084,97304,52410,147148,2999,336,1970,Sports Car,AVAIL,2023-04-17,2023-04-17,MERCEDES-BENZ
Lexus RX300 Executive,174147,23882,2018-04-13,2018,61315,1210,Auto,70601,51258,37605,64265,1998,175,1890,SUV,SOLD,2023-04-07,2023-04-15,LEXUS
Mercedes-Benz A-Class A250 AMG Line,141053,22588,2019-07-18,2019,63138,1202,Auto,55406,39535,39728,47349,1991,165,1455,Hatchback,SOLD,2023-04-07,2023-04-07,MERCEDES-BENZ
Honda Grace 1.5A LX,108900,12250,2021-05-11,2019,46808,682,Auto,44186,20140,35990,20196,1496,97,1110,Mid-Sized Sedan,AVAIL,2023-04-15,2023-04-16,HONDA
Nissan Serena e-POWER Hybrid 1.2A Highway Star Premium,157800,19010,2021-01-19,2020,41000,802,Auto,53593,31039,49300,20455,1198,100,1758,MPV,AVAIL,2023-04-09,2023-04-09,NISSAN
Kia Cerato Forte Koup 1.6A SX Sunroof (COE till 12/2024),23800,13920,2010-01-07,2009,156062,1033,Auto,5458,15631,15988,15631,1591,93,1232,Sports Car,AVAIL,2023-03-29,2023-03-30,KIA
Honda Civic Type R 2.0M (COE till 05/2028),105800,20640,2008-12-01,2008,117600,1815,Manual,19844,28333,38712,28333,1998,165,1270,Sports Car,AVAIL,2023-04-13,2023-04-13,HONDA
Mercedes-Benz CLA-Class CLA180 AMG Line Premium,181500,18570,2021-11-25,2019,9400,586,Auto,103716,36587,82801,43222,1332,100,1410,Luxury Sedan,AVAIL,2023-04-15,2023-04-15,MERCEDES-BENZ
Mercedes-Benz C-Class C200 Sunroof,78800,23650,2015-10-22,2015,88608,1202,Auto,37820,36886,58190,38641,1991,135,1460,Luxury Sedan,AVAIL,2023-04-14,2023-04-14,MERCEDES-BENZ
Audi A6 1.8A TFSI Ultra,115000,21830,2017-07-24,2016,115000,976,Auto,51795,40460,49802,43644,1798,140,1645,Luxury Sedan,AVAIL,2023-04-10,2023-04-14,AUDI
Peugeot 3008 1.2A PureTech EAT8 Active Premium,110711,13919,2021-05-25,2021,69410,508,Auto,42772,24060,41801,25684,1199,96,1320,SUV,SOLD,2023-04-10,2023-04-11,PEUGEOT
Mercedes-Benz E-Class E250,154891,18298,2014-10-08,2014,111378,1202,Auto,39603,49580,64889,56412,1991,155,1680,Luxury Sedan,SOLD,2023-04-04,2023-04-12,MERCEDES-BENZ
Nissan Qashqai 1.2A DIG-T Premium,56800,15740,2016-06-16,2016,92000,508,Auto,26074,18974,53694,13974,1197,85,1285,SUV,AVAIL,2023-04-16,2023-04-16,NISSAN
Honda N-Van Turbo Style Fun Honda Sensing,89888,9030,2023-03-29,2022,13,723,Auto,64099,18824,64399,942,658,86,920,Van,AVAIL,2023-04-15,2023-04-15,HONDA
Audi Q5 2.0A TFSI Quattro S-tronic Sport S-Line Panoramic Roof,133800,22530,2017-12-01,2017,71292,1194,Auto,63699,48010,48109,59214,1984,185,1795,SUV,AVAIL,2023-04-13,2023-04-17,AUDI
Honda Fit 1.3A GF,83400,13170,2019-05-22,2019,57000,578,Auto,19891,16202,25000,6202,1317,73,1030,Hatchback,AVAIL,2023-04-07,2023-04-07,HONDA
Mitsubishi Attrage 1.2A,58736,12098,2018-01-17,2017,67971,506,Auto,23047,13474,42339,5000,1193,59,940,Mid-Sized Sedan,SOLD,2023-04-01,2023-04-09,MITSUBISHI
Hyundai Elantra 1.6A GLS S,67695,12634,2018-03-20,2018,77385,738,Auto,25866,10087,38830,10087,1591,94,1345,Mid-Sized Sedan,AVAIL,2023-03-27,2023-04-11,HYUNDAI
Kia Picanto 1.1M (COE till 08/2029),44800,7040,2009-08-27,2009,137000,619,Manual,18665,7497,29328,7497,1086,48,852,Hatchback,AVAIL,2023-04-15,2023-04-16,KIA
Toyota Corolla Altis 1.6A (COE till 04/2029),58800,9730,2009-05-07,2009,130136,1039,Auto,15813,17500,26175,17500,1598,80,1195,Mid-Sized Sedan,AVAIL,2023-04-16,2023-04-17,TOYOTA
Volkswagen Polo GP 1.2A TSI Sunroof,53288,12745,2016-06-27,2016,73919,508,Auto,22788,17279,47419,7279,1197,66,1139,Hatchback,SOLD,2023-03-25,2023-03-27,VOLKSWAGEN
Mercedes-Benz GLA-Class GLA200 Urban Sunroof,114800,18890,2018-05-07,2017,82000,740,Auto,49051,33223,39903,38513,1595,115,1435,SUV,AVAIL,2023-04-08,2023-04-08,MERCEDES-BENZ
Volkswagen Golf 1.4A TSI EQP Sunroof,27800,17050,2014-08-31,2014,110000,624,Auto,13686,22710,64600,8794,1395,90,1249,Hatchback,AVAIL,2023-04-06,2023-04-17,VOLKSWAGEN
Mercedes-Benz A-Class A200 (COE till 11/2031),125800,14580,2013-03-12,2013,140000,814,Auto,41209,26404,47765,16404,1595,115,1395,Hatchback,AVAIL,2023-04-13,2023-04-13,MERCEDES-BENZ
Mercedes-Benz C-Class C180K (COE till 12/2031),90888,10430,2012-01-06,2011,130000,890,Auto,44058,31076,50570,31076,1597,115,1500,Luxury Sedan,AVAIL,2023-04-14,2023-04-14,MERCEDES-BENZ
Mercedes-Benz A-Class A180,49748,15781,2015-11-16,2015,113664,740,Auto,26011,22896,57498,19055,1595,90,1395,Hatchback,SOLD,2023-04-11,2023-04-13,MERCEDES-BENZ
Toyota Camry 2.0A (COE till 10/2029),70800,10890,2009-10-16,2009,123800,1694,Auto,24371,27271,37502,27271,1998,108,1530,Luxury Sedan,AVAIL,2023-04-06,2023-04-14,TOYOTA
Audi Q5 2.0A TFSI Quattro S-tronic Sport,149800,21530,2018-12-20,2018,49500,1194,Auto,58867,45009,31001,55013,1984,185,1795,SUV,AVAIL,2023-04-15,2023-04-15,AUDI
Nissan NV200 1.5M,64888,9800,2019-11-28,2019,39688,450,Manual,8822,20703,13333,1036,1461,78,1260,Van,AVAIL,2023-04-10,2023-04-10,NISSAN
BMW X5 M50d (New 10-yr COE),168800,16870,2013-05-13,2012,118100,3376,Auto,62446,88573,31542,88573,2993,225,2150,Sports Car,AVAIL,2023-04-13,2023-04-13,BMW
Nissan Qashqai 1.2A DIG-T,56800,12650,2017-03-31,2017,63870,508,Auto,29276,18583,54501,13583,1197,85,1285,SUV,AVAIL,2023-04-14,2023-04-14,NISSAN
BMW 7 Series 740Li Luxury Sunroof,130800,25210,2016-01-28,2015,135000,2384,Auto,88014,82909,54920,121237,2998,240,1770,Luxury Sedan,AVAIL,2023-04-03,2023-04-04,BMW
Mercedes-Benz E-Class E250 (COE till 04/2031),99888,12420,2011-08-29,2011,133000,1169,Auto,38047,52881,47316,52881,1796,150,1650,Luxury Sedan,AVAIL,2023-04-15,2023-04-17,MERCEDES-BENZ
Audi A8L 3.0A TFSI Quattro,221011,28778,2017-04-05,2014,71579,2380,Auto,92299,74457,51000,106023,2995,228,1955,Luxury Sedan,SOLD,2023-03-24,2023-04-07,AUDI
Mazda 3 HB 1.5A Deluxe Sunroof,52888,14420,2016-06-17,2016,103000,682,Auto,26383,19450,53694,14450,1496,88,1324,Hatchback,AVAIL,2023-04-12,2023-04-12,MAZDA
Porsche Panamera 3.6A PDK (New 10-yr COE),187777,18760,2013-03-28,2011,160000,3332,Auto,64322,105906,45614,105906,3605,300,1835,Sports Car,AVAIL,2023-04-17,2023-04-17,PORSCHE
Maserati GranTurismo Cambiocorsa (COE till 12/2029),149000,22200,2010-01-29,2009,148000,7042,Auto,26377,120702,39313,120702,4691,323,1880,Sports Car,AVAIL,2023-03-31,2023-04-11,MASERATI
BMW 2 Series 218i Coupe Sunroof,123595,14464,2017-03-21,2017,95031,684,Auto,36112,28818,53300,27346,1499,100,1360,Sports Car,SOLD,2023-03-28,2023-04-03,BMW
McLaren 12C (COE till 06/2032),483800,52520,2012-07-12,2012,40000,3997,Auto,87501,278169,95025,278169,3798,441,1514,Sports Car,AVAIL,2023-03-27,2023-04-16,MCLAREN
Mercedes-Benz GLA-Class GLA200 Urban Edition,86000,21340,2016-09-02,2016,88548,740,Auto,37017,29142,56089,27799,1595,115,1435,SUV,AVAIL,2023-04-17,2023-04-17,MERCEDES-BENZ
Toyota Fortuner 2.7A (COE till 12/2029),82500,12440,2009-12-02,2009,250000,2839,Auto,26065,27883,39313,27883,2694,118,1705,SUV,AVAIL,2023-04-16,2023-04-16,TOYOTA
Mercedes-Benz GLC-Class GLC250 4MATIC,160800,26060,2018-05-31,2018,60000,1202,Auto,60931,44724,39000,54614,1991,155,1735,SUV,AVAIL,2023-04-04,2023-04-04,MERCEDES-BENZ
Honda Vezel 1.5A X Honda Sensing,69800,19690,2016-08-02,2016,68000,682,Auto,23901,19919,53000,9919,1496,96,1190,SUV,AVAIL,2023-04-15,2023-04-16,HONDA
Mitsubishi Evolution 9 MR GSR (COE till 06/2026),139900,43640,2006-09-28,2006,120000,1815,Manual,15527,40805,48479,44886,1997,206,1420,Sports Car,AVAIL,2023-03-29,2023-04-13,MITSUBISHI
Mercedes-Benz S-Class S320L,183800,28620,2017-05-17,2016,89000,2382,Auto,115356,89948,53001,133907,2996,200,1940,Luxury Sedan,AVAIL,2023-04-11,2023-04-11,MERCEDES-BENZ
Honda Freed Hybrid 1.5A G 7-Seater Honda Sensing,140800,16530,2021-04-15,2020,18000,682,Auto,54693,28690,52309,17166,1496,101,1430,MPV,AVAIL,2023-04-06,2023-04-14,HONDA
Land Rover Discovery Sport 2.0A Si4 SE 7-Seater,119800,22190,2017-05-31,2016,98226,1212,Auto,61658,46235,53300,56729,1999,177,1841,SUV,AVAIL,2023-04-08,2023-04-16,LAND-ROVER
Hyundai Avante 1.6A GLS Elite,86800,12660,2019-06-10,2019,60000,738,Auto,29999,17856,27000,17856,1591,94,1345,Mid-Sized Sedan,AVAIL,2023-04-16,2023-04-16,HYUNDAI
Mercedes-Benz CLC-Class CLC180K (COE till 11/2028),59800,10760,2008-11-05,2008,188000,1461,Auto,17838,33165,32121,33165,1796,105,1495,Sports Car,AVAIL,2023-03-31,2023-04-16,MERCEDES-BENZ
Honda HR-V 1.5A DX,74927,13694,2018-11-19,2018,146389,682,Auto,26130,19842,28457,19842,1496,96,1191,SUV,SOLD,2023-04-01,2023-04-05,HONDA
Nissan GTR 3.8A (COE till 09/2028),258888,47440,2008-09-30,2008,136900,5454,Auto,18216,78029,33377,78029,3799,353,1740,Sports Car,AVAIL,2023-04-17,2023-04-17,NISSAN
Hyundai Ioniq Electric 38.3kWh Sunroof,149800,16130,2022-06-22,2022,5000,1502,Auto,67583,40191,70901,3268,1495,100,1575,Hatchback,AVAIL,2023-04-17,2023-04-17,HYUNDAI
Lamborghini Aventador LP700-4 (COE till 04/2032),798000,88240,2013-01-03,2012,30000,8642,Auto,80365,453424,88862,453424,6498,515,1690,Sports Car,AVAIL,2023-04-13,2023-04-13,LAMBORGHINI
Audi Q5 2.0A TFSI Quattro (COE till 05/2024),15800,14200,2009-05-28,2009,154633,1672,Auto,4390,44757,19782,44757,1984,155,1740,SUV,AVAIL,2023-04-12,2023-04-17,AUDI
Nissan X-Trail 2.0A Premium 7-Seater Sunroof,71800,15690,2017-01-20,2016,83256,1210,Auto,36576,23955,53106,25537,1997,106,1626,SUV,AVAIL,2023-04-16,2023-04-16,NISSAN
Honda Fit Hybrid 1.5A,67888,14200,2017-11-24,2017,101231,682,Auto,26466,21047,52000,5000,1496,101,1080,Hatchback,AVAIL,2023-04-05,2023-04-06,HONDA
Mercedes-Benz CLA-Class CLA180 (New 10-yr COE),62309,20077,2014-06-18,2014,95146,740,Auto,23467,27415,67792,20381,1595,90,1430,Luxury Sedan,SOLD,2023-04-13,2023-04-16,MERCEDES-BENZ
Toyota Previa 2.4A Aeras Moonroof,131350,18866,2017-06-19,2017,60917,1638,Auto,52146,34489,55414,40285,2362,125,1775,MPV,SOLD,2023-04-10,2023-04-16,TOYOTA
Mazda 3 1.5A Deluxe Sunroof,61800,13610,2017-04-21,2017,79926,682,Auto,30880,19453,51765,14453,1496,88,1331,Mid-Sized Sedan,AVAIL,2023-04-15,2023-04-15,MAZDA
Honda Civic 1.6A VTi,94123,14826,2018-04-03,2018,78531,742,Auto,35890,19724,38200,19724,1597,92,1249,Mid-Sized Sedan,SOLD,2023-04-06,2023-04-15,HONDA
Tesla Model 3 Electric Standard Plus,226988,21770,2022-12-23,2022,68000,2135,Auto,108151,58311,107201,31960,2094,208,1760,Luxury Sedan,AVAIL,2023-04-16,2023-04-16,TESLA
Audi A3 Sedan 1.4A TFSI Ambiente,39800,14650,2015-06-23,2015,120195,624,Auto,23774,27574,66000,15604,1395,92,1310,Luxury Sedan,AVAIL,2023-04-17,2023-04-17,AUDI
Lexus ES Hybrid ES300h Luxury Sunroof,248800,23620,2022-03-31,2021,12000,1784,Auto,144376,56896,98889,74413,2487,160,1680,Luxury Sedan,AVAIL,2023-03-27,2023-04-09,LEXUS
BMW 5 Series 530i,178888,24230,2019-01-30,2018,53000,1210,Auto,75807,58415,31001,77147,1998,185,1615,Luxury Sedan,AVAIL,2023-04-01,2023-04-01,BMW
Toyota Wish 1.8A (COE till 07/2023),55300,13281,2008-07-30,2008,140603,1458,Auto,9099,18803,18444,18803,1794,97,1310,MPV,SOLD,2023-04-01,2023-04-05,TOYOTA
Audi Q5 Mild Hybrid 2.0A TFSI Quattro S-tronic,236800,23970,2022-03-01,2021,20000,1194,Auto,119109,40030,93590,48042,1984,183,1825,SUV,AVAIL,2023-04-13,2023-04-13,AUDI
Honda Civic 1.5A VTEC Turbo Sunroof,76000,16980,2017-01-05,2016,130000,684,Auto,33875,27624,46229,25674,1498,127,1324,Mid-Sized Sedan,AVAIL,2023-04-06,2023-04-06,HONDA
Lexus GS300 (COE till 12/2028),116283,15779,2009-01-09,2008,158560,3570,Auto,20579,52219,31553,52219,2995,183,1660,Luxury Sedan,SOLD,2023-04-12,2023-04-14,LEXUS
Honda Airwave 1.5A M (COE till 03/2024),11800,13050,2009-03-13,2008,156157,1023,Auto,2308,16247,12763,16247,1496,81,1160,Stationwagon,AVAIL,2023-04-15,2023-04-15,HONDA
BMW 3 Series 318i Sport,88800,15980,2017-10-19,2017,86500,684,Auto,45514,33232,49012,33525,1499,100,1425,Luxury Sedan,AVAIL,2023-04-09,2023-04-09,BMW
Land Rover Range Rover Sport 3.0A Supercharged Autobiography,153000,96180,2014-01-20,2013,80000,2380,Auto,86677,104450,87910,160010,2995,250,2214,SUV,AVAIL,2023-04-13,2023-04-14,LAND-ROVER
Honda Fit Hybrid 1.5A,85800,13280,2019-06-20,2018,33800,682,Auto,27803,17493,35906,7493,1496,101,1080,Hatchback,AVAIL,2023-04-14,2023-04-14,HONDA
Toyota Alphard 2.5A S,94688,32290,2015-08-18,2015,120000,1792,Auto,40589,33192,75002,38469,2493,134,1980,MPV,AVAIL,2023-04-09,2023-04-14,TOYOTA
Kia Stinger 3.3A GT Sunroof,169800,22470,2019-09-06,2019,45000,2920,Auto,69918,43090,48010,52326,3342,272,1780,Luxury Sedan,AVAIL,2023-04-04,2023-04-04,KIA
Honda Crossroad 1.8A L (COE till 11/2023),12800,22680,2008-11-10,2008,176614,1467,Auto,1804,18684,16061,18684,1799,103,1410,SUV,AVAIL,2023-04-05,2023-04-05,HONDA
Volkswagen Golf 1.4A TSI EQP Sunroof,48000,17050,2015-09-15,2015,51000,624,Auto,21983,22642,57089,13699,1395,90,1249,Hatchback,AVAIL,2023-04-11,2023-04-12,VOLKSWAGEN
Honda Shuttle Hybrid 1.5A,93233,11379,2019-01-29,2018,102071,682,Auto,29834,21564,31809,12190,1496,101,1190,Stationwagon,SOLD,2023-04-09,2023-04-17,HONDA
Toyota Vellfire 3.5A Z G-Edition Moonroof,63800,27180,2014-08-15,2014,59000,3100,Auto,39058,45264,64889,55370,3456,206,2030,MPV,AVAIL,2023-03-24,2023-04-16,TOYOTA
Toyota Hilux Double-Cab (COE till 02/2027),70219,17636,2007-03-23,2006,103456,1367,Manual,17478,25950,21642,28545,2982,109,1760,Truck,SOLD,2023-03-27,2023-04-12,TOYOTA
Nissan NV200 1.6A DX,58800,9210,2019-09-03,2019,49525,644,Auto,16279,18010,25501,901,1597,70,1220,Van,AVAIL,2023-04-17,2023-04-17,NISSAN
Peugeot 5008 1.2A Puretech EAT8 Active Premium,147831,18980,2021-03-11,2020,50457,508,Auto,49958,28507,41996,31910,1199,96,1430,MPV,SOLD,2023-04-12,2023-04-15,PEUGEOT
Volkswagen Golf 1.4A TSI Comfortline,96408,14674,2020-01-31,2019,66360,624,Auto,32717,19707,35010,19707,1395,92,1270,Hatchback,SOLD,2023-03-25,2023-04-07,VOLKSWAGEN
BMW 4 Series 430i Gran Coupe M-Sport Pro Sunroof,276800,27050,2021-11-30,2021,13300,1210,Auto,133901,63887,79601,86997,1998,180,1645,Luxury Sedan,AVAIL,2023-04-16,2023-04-16,BMW
BMW M4 Cabriolet Competition Package,432000,41001,2022-03-04,2019,29111,2362,Auto,157532,66026,93102,90847,2979,331,1890,Sports Car,AVAIL,2023-04-03,2023-04-11,BMW
Mercedes-Benz GLC-Class GLC300 Mild Hybrid AMG Line 4MATIC Premium,218800,25690,2020-03-17,2019,65000,1202,Auto,86561,61235,36000,82223,1991,200,1805,SUV,AVAIL,2023-03-28,2023-04-16,MERCEDES-BENZ
Lexus IS Hybrid IS300h,50000,27240,2014-04-08,2013,138000,1792,Auto,30765,49907,77003,46870,2494,164,1635,Luxury Sedan,AVAIL,2023-04-14,2023-04-14,LEXUS
Honda Fit 1.3A G (COE till 02/2024),10300,11930,2009-02-27,2008,135500,885,Auto,2220,13110,12864,13110,1339,73,1010,Hatchback,AVAIL,2023-04-13,2023-04-17,HONDA
Volkswagen T-Cross 1.0A TSI R-Line,127988,13760,2021-09-29,2020,31500,392,Auto,58075,22373,48000,23323,999,85,1369,SUV,AVAIL,2023-04-13,2023-04-13,VOLKSWAGEN
Nissan NV350 2.5M,53800,9970,2018-09-07,2017,75320,490,Manual,13639,25062,25283,1254,2488,84,1780,Van,AVAIL,2023-04-14,2023-04-14,NISSAN
Audi A3 Sportback 1.0A TFSI S-tronic,98800,14170,2019-06-24,2019,73000,392,Auto,33342,21554,26999,22176,999,85,1275,Hatchback,AVAIL,2023-04-14,2023-04-14,AUDI
Lexus IS Turbo IS200t Executive,108800,19810,2017-08-18,2017,136000,1210,Auto,55356,38430,53711,45802,1998,180,1620,Luxury Sedan,AVAIL,2023-04-13,2023-04-13,LEXUS
Audi S5 Cabriolet 3.0A TFSI Quattro (COE till 01/2030),128888,19040,2010-01-22,2009,121000,3332,Auto,26705,75870,39463,75870,2995,245,1875,Sports Car,AVAIL,2023-04-04,2023-04-04,AUDI
Hyundai Elantra 1.6A GLS Elite,51465,10547,2018-11-10,2018,108161,738,Auto,22504,14645,28457,14645,1591,94,1345,Mid-Sized Sedan,SOLD,2023-04-05,2023-04-12,HYUNDAI
Peugeot 5008 Diesel 1.6A e-HDi ETG,29500,13490,2015-01-19,2014,121469,1144,Auto,17939,24675,65889,11545,1560,84,1520,MPV,AVAIL,2023-04-15,2023-04-15,PEUGEOT
Lexus ES250 Executive Sunroof,222800,21920,2022-03-22,2021,12000,1784,Auto,124014,44213,93590,53899,2487,152,1620,Luxury Sedan,AVAIL,2023-04-08,2023-04-08,LEXUS
Lexus NX Turbo NX300 Executive,137661,22799,2019-06-26,2019,52829,1210,Auto,53863,40960,35906,49344,1998,175,1755,SUV,SOLD,2023-03-25,2023-04-15,LEXUS
Honda Civic 1.6A VTi (COE till 03/2029),65800,11040,2009-04-23,2008,139272,1036,Auto,15203,25630,25525,25630,1595,92,1220,Mid-Sized Sedan,AVAIL,2023-04-07,2023-04-09,HONDA
Volkswagen Golf GTI 5DR Sunroof (COE till 04/2029),85888,14220,2009-08-13,2009,144024,1672,Auto,21382,32082,35411,32082,1984,155,1339,Sports Car,AVAIL,2023-04-13,2023-04-14,VOLKSWAGEN
BMW M3 Convertible (COE till 02/2029),115000,19580,2010-01-27,2008,124000,5527,Auto,24301,68648,31933,68648,3999,309,1905,Sports Car,AVAIL,2023-04-17,2023-04-17,BMW
Chevrolet Cruze 1.6A,16800,16257,2013-05-15,2013,61788,742,Auto,7004,13117,62301,13117,1598,91,1388,Mid-Sized Sedan,AVAIL,2023-03-28,2023-04-11,CHEVROLET
BMW 3 Series 320i Coupe Sunroof (COE till 05/2030),76800,10780,2010-09-08,2010,135000,1570,Auto,23911,35160,33568,35160,1995,115,1390,Sports Car,AVAIL,2023-04-02,2023-04-14,BMW
Hyundai Avante 1.6A S,106800,13550,2020-11-04,2020,25000,742,Auto,31812,18875,33304,8875,1598,91,1280,Mid-Sized Sedan,AVAIL,2023-04-16,2023-04-16,HYUNDAI
Honda Shuttle 1.5A G LED,74800,13910,2018-05-03,2018,71000,682,Auto,26063,19195,38000,9195,1496,97,1130,Stationwagon,AVAIL,2023-03-30,2023-04-15,HONDA
Mazda 3 1.5A Deluxe Sunroof,65800,13270,2017-09-22,2017,99000,682,Auto,28793,18964,42902,13964,1496,88,1331,Mid-Sized Sedan,AVAIL,2023-04-17,2023-04-17,MAZDA
