model,price,depreciation,registration_date,manufactured_year,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,types,status,maker
Audi S5 Cabriolet 3.0A TFSI Quattro (COE till 01/2030),128888,19040,1/22/2010,2009,121000,3332,Auto,26705,75870,39463,75870,2995,245,1875,Sports Car,AVAIL,AUDI
Hyundai Elantra 1.6A GLS Elite,51128,10725,11/10/2018,2018,115726,738,Auto,22843,14645,28457,14645,1591,94,1345,Mid-Sized Sedan,SOLD,HYUNDAI
Lexus ES250 Executive Sunroof,222800,21920,3/22/2022,2021,12000,1784,Auto,124014,44213,93590,53899,2487,152,1620,Luxury Sedan,AVAIL,LEXUS
Lexus NX Turbo NX300 Executive,157167,20252,6/26/2019,2019,43072,1210,Auto,60284,40960,35906,49344,1998,175,1755,SUV,SOLD,LEXUS
Honda Civic 1.6A VTi (COE till 03/2029),65800,11040,4/23/2009,2008,146453,1036,Auto,15203,25630,25525,25630,1595,92,1220,Mid-Sized Sedan,AVAIL,HONDA
Volkswagen Golf GTI 5DR Sunroof (COE till 04/2029),85888,14220,8/13/2009,2009,135477,1672,Auto,21382,32082,35411,32082,1984,155,1339,Sports Car,AVAIL,VOLKSWAGEN
Chevrolet Cruze 1.6A,16800,15374,5/15/2013,2013,61788,742,Auto,7004,13117,62301,13117,1598,91,1388,Mid-Sized Sedan,AVAIL,CHEVROLET
BMW 3 Series 320i Coupe Sunroof (COE till 05/2030),76800,10780,9/8/2010,2010,135000,1570,Auto,23911,35160,33568,35160,1995,115,1390,Sports Car,AVAIL,BMW
Honda Shuttle 1.5A G LED,74800,13910,5/3/2018,2018,71000,682,Auto,26063,19195,38000,9195,1496,97,1130,Stationwagon,AVAIL,HONDA
Volvo V40 T2,44888,13020,1/5/2016,2015,120000,684,Auto,26848,22809,56989,18933,1498,90,1450,Hatchback,AVAIL,VOLVO
Honda Vezel 1.5A X,56207,13745,10/22/2015,2015,47834,682,Auto,30692,19383,57301,9383,1496,96,1190,SUV,AVAIL,HONDA
Hyundai Elantra 1.6A GLS,61175,14660,5/18/2017,2017,89089,738,Auto,26705,12925,51106,12925,1591,94,1345,Mid-Sized Sedan,SOLD,HYUNDAI
Subaru Forester 2.0i-L Sunroof,85800,15200,6/27/2018,2018,112000,1208,Auto,30169,13559,38501,13559,1995,110,1591,SUV,AVAIL,SUBARU
Honda Stream 1.8A (COE till 12/2027),55800,11850,2/1/2008,2007,189000,1467,Auto,24405,16614,51850,18276,1799,103,1350,MPV,AVAIL,HONDA
Mercedes-Benz SLK-Class SLK350 (COE till 08/2031),138500,16530,9/29/2011,2011,90000,3797,Auto,48833,73069,58306,73069,3498,225,1540,Sports Car,AVAIL,MERCEDES-BENZ
Honda Vezel 1.5A X,41800,15420,9/23/2015,2015,116193,682,Auto,18694,18495,55889,8495,1496,96,1190,SUV,AVAIL,HONDA
Honda Fit 1.3A G (COE till 08/2023),17543,10699,8/27/2008,2008,72325,885,Auto,5066,12193,17099,8486,1339,73,1010,Hatchback,SOLD,HONDA
Nissan Qashqai 1.2A DIG-T Premium,69060,13990,10/26/2017,2017,71057,508,Auto,28883,19881,41617,14881,1197,85,1325,SUV,AVAIL,NISSAN
BMW 1 Series 116i M-Sport,33800,20910,6/13/2014,2014,146181,742,Auto,18291,26600,67290,19240,1598,100,1310,Hatchback,AVAIL,BMW
Audi e-tron Sportback Electric 55 Quattro,328000,35320,9/29/2021,2021,9900,4383,Auto,96999,73238,64700,58829,2892,313,2595,SUV,AVAIL,AUDI
Mercedes-Benz C-Class C180 Avantgarde,91555,20150,12/2/2016,2016,102630,740,Auto,44483,35663,56500,36929,1595,115,1425,Luxury Sedan,AVAIL,MERCEDES-BENZ
Porsche Panamera 3.0A PDK,391609,46527,10/31/2018,2018,19113,2380,Auto,152038,110445,32429,170801,2995,243,1815,Luxury Sedan,SOLD,PORSCHE
Nissan Sylphy 1.6A Premium Signature Series,29742,15268,3/26/2015,2014,124075,742,Auto,15986,15430,64700,10430,1598,85,1205,Mid-Sized Sedan,SOLD,NISSAN
Infiniti QX80 5.6A,198000,42670,10/28/2016,2016,53900,6378,Auto,81290,68117,56089,94611,5552,298,2815,SUV,AVAIL,INFINITI
Toyota Prius Plus Hybrid 1.8A,101362,16558,4/3/2019,2018,73596,976,Auto,36647,30006,33689,24009,1798,100,1500,MPV,SOLD,TOYOTA
MINI One 1.5A 5DR,151900,15640,6/14/2022,2022,8300,684,Auto,80508,28708,73801,17192,1499,75,1235,Hatchback,AVAIL,MINI
BMW 4 Series 420i Gran Coupe,179954,23648,6/12/2018,2018,22541,1210,Auto,65094,45026,36000,55037,1998,135,1540,Luxury Sedan,SOLD,BMW
Porsche Taycan Electric 4S Performance Battery Plus,635800,60610,12/30/2021,2021,5000,7230,Auto,231403,155087,79601,216157,4288,495,2295,Sports Car,AVAIL,PORSCHE
BMW 3 Series 340i Sport,133800,34790,4/22/2016,2016,42436,2384,Auto,51664,47089,46667,57925,2998,240,1540,Luxury Sedan,AVAIL,BMW
Lamborghini Aventador S,1150000,172860,1/16/2018,2017,18000,7856,Auto,482623,380902,48011,657624,6498,545,1690,Sports Car,AVAIL,LAMBORGHINI
Nissan NV200 1.6A DX,68126,9995,3/28/2019,2019,69892,372,Auto,17153,20437,24677,1022,1597,78,1220,Van,SOLD,NISSAN
Mercedes-Benz CLA-Class CLA180 AMG Line,100054,19542,4/19/2017,2017,102199,740,Auto,36302,30372,51765,29521,1595,90,1430,Luxury Sedan,SOLD,MERCEDES-BENZ
Subaru Forester 2.0i-L Sunroof,76500,14990,12/8/2017,2017,72000,1208,Auto,36267,13744,57414,13744,1995,110,1591,SUV,AVAIL,SUBARU
Volkswagen Golf 1.4A TSI EQP Sunroof,32734,12977,5/27/2015,2014,110567,624,Auto,23208,22710,66590,8794,1395,90,1249,Hatchback,SOLD,VOLKSWAGEN
Mercedes-Benz CLA-Class CLA200 Urban,86943,20218,2/24/2017,2016,87543,740,Auto,34129,29743,53106,28641,1595,115,1395,Luxury Sedan,SOLD,MERCEDES-BENZ
Mitsubishi Outlander 2.0A,128888,15530,9/25/2020,2020,53000,1210,Auto,48765,24659,38802,26523,1998,110,1480,SUV,AVAIL,MITSUBISHI
Nissan Sylphy 1.6A,94800,11840,8/3/2020,2020,35914,742,Auto,36437,16773,32699,16773,1598,85,1205,Mid-Sized Sedan,AVAIL,NISSAN
Hyundai Avante 1.6A S,90977,13075,5/11/2021,2021,48107,742,Auto,34970,18359,48002,5000,1598,91,1280,Mid-Sized Sedan,SOLD,HYUNDAI
Mercedes-Benz CLA-Class CLA45 S AMG 4MATIC+ Plus,327800,31770,3/17/2022,2021,7000,1202,Auto,150107,64922,93590,88860,1991,310,1695,Sports Car,AVAIL,MERCEDES-BENZ
Mercedes-Benz GLA-Class GLA180 Urban Edition,126097,16267,2/6/2020,2019,49471,740,Auto,43922,26183,33009,28657,1595,90,1435,SUV,SOLD,MERCEDES-BENZ
Maserati GranCabrio 4.7A (COE till 10/2030),179800,23830,11/18/2011,2011,92012,6036,Auto,28824,119013,38216,119013,4691,323,1980,Sports Car,AVAIL,MASERATI
Toyota Wish 1.8A (COE till 01/2027),46800,12340,1/31/2007,2006,115017,1458,Auto,19953,19026,52660,20929,1794,97,1300,MPV,AVAIL,TOYOTA
Toyota Harrier 2.0A Elegance Panoramic Roof,89167,19155,12/29/2017,2017,100836,1196,Auto,38269,30289,48011,29405,1986,111,1610,SUV,SOLD,TOYOTA
Toyota Corolla Altis 1.6A Classic,54500,13030,10/14/2016,2016,112000,742,Auto,29140,17982,50000,17982,1598,90,1205,Mid-Sized Sedan,AVAIL,TOYOTA
Kia Cerato 2.0A SX (COE till 09/2024),16800,11860,9/16/2009,2009,170000,1694,Auto,5364,16006,18971,16006,1998,115,1284,Mid-Sized Sedan,AVAIL,KIA
Kia Cerato K3 1.6A,27500,16100,9/25/2014,2014,120315,738,Auto,14015,13587,64600,8587,1591,96,1295,Mid-Sized Sedan,AVAIL,KIA
Mercedes-Benz C-Class C350 (COE till 12/2028),67800,11920,12/23/2008,2008,135000,4746,Auto,17938,69331,31553,69331,3498,200,1610,Luxury Sedan,AVAIL,MERCEDES-BENZ
Toyota Corolla Axio 1.5A X (COE till 06/2028),66754,10974,6/24/2008,2008,111247,1023,Auto,24334,12531,38214,12531,1496,81,1130,Mid-Sized Sedan,SOLD,TOYOTA
Kia Carens Diesel 1.7A SX Sunroof,68051,18617,8/17/2016,2016,95176,1318,Auto,29767,23995,57903,20593,1685,104,1525,MPV,SOLD,KIA
Volkswagen CC 2.0A TSI,72500,23760,6/17/2015,2014,170000,1194,Auto,41792,35726,76612,42017,1984,155,1535,Luxury Sedan,AVAIL,VOLKSWAGEN
Honda Jazz 1.5A RS,76247,12537,1/3/2018,2017,104361,684,Auto,35560,16368,46791,16368,1498,96,1088,Hatchback,AVAIL,HONDA
Mazda 6 Wagon 2.5A Sunroof,66700,16340,6/22/2016,2016,74000,1786,Auto,36960,26772,56000,29481,2488,141,1531,Stationwagon,AVAIL,MAZDA
BMW X3 Mild Hybrid xDrive20i,283798,27834,10/31/2022,2021,10680,1210,Auto,141148,46038,108003,56454,1998,138,1800,SUV,SOLD,BMW
Mazda 3 1.5A Deluxe Sunroof,66936,13802,9/29/2017,2017,74581,682,Auto,28508,19174,42902,14174,1496,88,1331,Mid-Sized Sedan,SOLD,MAZDA
Honda Stream 1.8A X (COE till 08/2028),58800,10950,8/29/2008,2007,198000,1467,Auto,18780,24684,34991,16071,1799,103,1350,MPV,AVAIL,HONDA
Mitsubishi Attrage 1.2A,53800,12820,4/18/2017,2017,60000,506,Auto,23566,13174,50789,5000,1193,57,940,Mid-Sized Sedan,AVAIL,MITSUBISHI
Nissan NV200 1.5M,50800,9680,7/16/2018,2017,93000,461,Manual,16790,20486,32001,1025,1461,73,1260,Van,AVAIL,NISSAN
Honda Vezel 1.5A X Honda Sensing,53800,15990,5/3/2016,2015,99000,682,Auto,20344,20174,45000,10244,1496,96,1190,SUV,AVAIL,HONDA
Nissan Murano 2.5A Sunroof (COE till 03/2027),43000,10960,3/20/2007,2006,163311,2679,Auto,19739,27946,50347,30741,2488,120,1690,SUV,AVAIL,NISSAN
Porsche Boxster 2.7A PDK,150000,38155,10/1/2013,2013,100000,2042,Auto,53356,71004,77000,99808,2706,195,1415,Sports Car,AVAIL,PORSCHE
Mercedes-Benz S-Class S450L Mild Hybrid 4MATIC,475800,46900,8/12/2021,2021,18000,2384,Auto,174820,110475,56100,170855,2999,286,1940,Luxury Sedan,AVAIL,MERCEDES-BENZ
Porsche 911 Carrera Coupe 3.0A PDK,422370,48349,1/20/2021,2020,33933,2364,Auto,175845,126280,49001,199304,2981,283,1505,Sports Car,SOLD,PORSCHE
Toyota Harrier 2.0A Premium Panoramic Roof,61900,19580,10/9/2015,2015,96520,1196,Auto,30887,28364,60001,26710,1986,111,1610,SUV,AVAIL,TOYOTA
Mercedes-Benz CLA-Class CLA200,76888,19930,6/9/2016,2016,87000,740,Auto,33089,29588,46502,28424,1595,115,1430,Luxury Sedan,AVAIL,MERCEDES-BENZ
Toyota Hiace 2.8A DX,139800,14050,3/29/2023,2021,4743,728,Auto,87357,34180,87790,1709,2754,87,1800,Van,AVAIL,TOYOTA
Mitsubishi Outlander 2.4A Sunroof,100031,14941,5/10/2016,2015,93142,1636,Auto,41989,21335,46502,21869,2360,123,1530,SUV,SOLD,MITSUBISHI
Toyota Harrier 2.0A Premium Panoramic Roof,132956,19227,10/3/2018,2017,53654,1196,Auto,48618,34834,31307,40768,1986,111,1610,SUV,SOLD,TOYOTA
Mercedes-Benz CLS-Class CLS53 Mild Hybrid AMG 4MATIC+ Plus,418800,48390,3/20/2020,2019,5908,2384,Auto,150346,108461,36000,167230,2999,336,1980,Luxury Sedan,AVAIL,MERCEDES-BENZ
Audi R8 5.2A FSI Quattro R-tronic (COE till 01/2030),268800,39820,1/15/2010,2009,83000,8168,Auto,26629,192709,39463,192709,5204,386,1625,Sports Car,AVAIL,AUDI
Toyota Hiace 2.8A DX,79888,12420,9/20/2019,2019,71210,508,Auto,14631,36398,22763,1820,2754,89,1800,Van,AVAIL,TOYOTA
MINI One 1.5A,96800,14000,7/26/2019,2019,67662,684,Auto,36445,25635,36704,17889,1499,75,1225,Hatchback,AVAIL,MINI
Porsche Boxster S 3.4A Tip (COE till 02/2028),120000,24970,2/5/2008,2007,120000,4488,Auto,24291,90580,50578,99638,3387,217,1395,Sports Car,AVAIL,PORSCHE
Toyota Prius Plus Hybrid 1.8A,128751,14657,2/25/2021,2020,19752,976,Auto,51012,27507,50100,15510,1798,100,1500,MPV,AVAIL,TOYOTA
Honda Jazz Hybrid 1.5A e-HEV Luxe,119800,13550,9/27/2021,2021,17000,684,Auto,47665,24015,47000,10621,1498,93,1220,Hatchback,AVAIL,HONDA
Nissan NV200 1.6A DX,58880,9810,4/17/2019,2019,62000,384,Auto,14405,19640,24009,982,1597,78,1220,Van,AVAIL,NISSAN
Audi A4 Mild Hybrid 2.0A TFSI S-tronic,127520,15918,10/22/2020,2020,38025,1194,Auto,55947,32264,40990,37170,1984,110,1515,Luxury Sedan,SOLD,AUDI
Mazda 3 HB 1.5A Deluxe,70800,13640,12/21/2017,2017,76400,682,Auto,29553,18932,42339,13932,1496,88,1329,Hatchback,AVAIL,MAZDA
Honda Shuttle 1.5A G LED,50368,13362,8/5/2016,2015,91670,682,Auto,22978,16869,52301,6869,1496,97,1130,Stationwagon,SOLD,HONDA
BMW 4 Series 420i Gran Coupe,90888,21030,7/28/2016,2016,89600,1210,Auto,47309,37015,57501,43821,1997,135,1505,Luxury Sedan,AVAIL,BMW
Mazda 3 1.5A,124102,13086,4/30/2014,2014,1743,682,Auto,72465,15918,77003,5918,1496,88,1339,Mid-Sized Sedan,SOLD,MAZDA
Toyota 86 2.0A High Grade (COE till 06/2032),149800,16320,6/20/2012,2012,92000,1331,Auto,87215,30804,95025,30804,1998,147,1259,Sports Car,AVAIL,TOYOTA
Subaru XV 1.6i-S,45800,14510,10/23/2015,2015,92500,744,Auto,25209,18541,56001,18541,1600,84,1480,SUV,AVAIL,SUBARU
Porsche Cayenne S 4.8A Tip (COE till 08/2030),132000,17930,8/26/2010,2010,155000,6773,Auto,24221,100966,32914,100966,4806,294,2140,SUV,AVAIL,PORSCHE
Porsche Cayenne 3.6A Tip Sunroof (COE till 01/2033),221156,22100,1/30/2013,2012,50660,3654,Auto,118547,82157,108106,82157,3598,220,2105,SUV,SOLD,PORSCHE
Nissan Fairlady 370Z (COE till 08/2030),120888,16400,8/30/2010,2009,109664,4516,Auto,24257,51927,32914,51927,3696,245,1505,Sports Car,AVAIL,NISSAN
Mercedes-Benz B-Class B180 Progressive Sunroof,114391,16628,7/26/2019,2019,51308,586,Auto,50943,32740,39728,37836,1332,100,1405,Hatchback,SOLD,MERCEDES-BENZ
Honda Odyssey 2.4A EXV-S Sunroof,80800,19510,7/19/2016,2016,115700,1630,Auto,41024,30422,57010,34591,2356,129,1855,MPV,AVAIL,HONDA
Volvo V40 Diesel D2,38500,14790,7/21/2015,2015,83000,1144,Auto,19347,23684,58700,10158,1560,84,1427,Hatchback,AVAIL,VOLVO
Toyota Sienta 1.5A Elegance,81482,13594,9/29/2020,2020,87327,682,Auto,33415,19828,38504,19828,1496,79,1350,MPV,SOLD,TOYOTA
Porsche Boxster 2.7A PDK,153888,86190,5/29/2014,2012,98000,2042,Auto,70825,79755,65501,115559,2706,195,1415,Sports Car,AVAIL,PORSCHE
Kia Carens Diesel 1.7A,66800,14500,3/27/2017,2017,93000,1318,Auto,33537,23064,53300,19290,1685,104,1525,Mid-Sized Sedan,AVAIL,KIA
Mazda 2 HB 1.5A,86000,10680,8/20/2020,2019,28100,682,Auto,35573,15124,33000,15124,1496,85,1067,Hatchback,AVAIL,MAZDA
BMW M135i 5DR (New 10-yr COE),48800,18605,8/14/2013,2013,162191,2362,Auto,27378,41096,83001,49535,2979,235,1445,Sports Car,SOLD,BMW
Porsche 911 Carrera S Coupe 3.0A,625000,64590,2/10/2021,2020,14800,2364,Auto,218903,148688,50100,239639,2981,331,1590,Sports Car,AVAIL,PORSCHE
Mazda 3 1.5A Sunroof,54800,12500,4/19/2017,2017,80788,682,Auto,27353,14476,51765,9476,1496,88,1310,Mid-Sized Sedan,AVAIL,MAZDA
Honda HR-V 1.5A DX,67000,14210,9/27/2017,2017,136000,682,Auto,29269,19728,45201,14728,1496,96,1185,SUV,SOLD,HONDA
Toyota Rav4 2.4A 5DR (COE till 10/2025),39900,15690,1/20/2006,2005,104959,2457,Auto,15604,28656,61441,31522,2362,125,1605,SUV,AVAIL,TOYOTA
Honda Civic 1.5A VTEC Turbo Sunroof,75800,17410,12/7/2016,2016,85000,684,Auto,36668,26990,56500,24786,1498,127,1324,Mid-Sized Sedan,AVAIL,HONDA
Mercedes-Benz S-Class S450L Mild Hybrid 4MATIC,455800,45680,5/19/2021,2021,15000,2384,Auto,165733,111361,45001,172450,2999,286,1940,Luxury Sedan,AVAIL,MERCEDES-BENZ
Toyota Vellfire 2.5A Z A-Edition,141500,33180,11/23/2016,2016,119000,1792,Auto,48774,37076,56206,43907,2493,134,1980,MPV,AVAIL,TOYOTA
MINI John Cooper Works GP 2.0A,218888,24390,1/18/2021,2020,5088,1210,Auto,76293,48013,41101,59219,1998,225,1330,Sports Car,AVAIL,MINI
Fiat Doblo Cargo Maxi 1.6A Multijet,64304,8606,7/3/2017,2017,31580,599,Auto,29042,18922,36879,947,1598,83,1500,Van,SOLD,FIAT
Mitsubishi Outlander 2.0A,129777,15100,2/26/2021,2020,83715,1210,Auto,52656,21413,46002,21979,1998,110,1480,SUV,SOLD,MITSUBISHI
BMW X1 sDrive18i,95604,16890,1/3/2017,2016,103595,684,Auto,39628,30895,51109,30253,1499,100,1430,SUV,SOLD,BMW
BMW X3 xDrive30i xLine,252800,26500,7/8/2021,2021,28500,1210,Auto,97060,54207,61112,69573,1998,185,1755,SUV,AVAIL,BMW
Audi A7 Sportback 2.8A FSI Quattro S-Line,126800,24660,5/26/2016,2012,65300,2120,Auto,80513,71328,49156,100391,2773,150,1730,Luxury Sedan,AVAIL,AUDI
BMW M2 Coupe,185500,32920,12/27/2017,2016,60500,2362,Auto,68480,49897,54334,61856,2979,272,1520,Sports Car,AVAIL,BMW
MINI Cooper S Clubman 1.6A (COE till 03/2028),69800,14250,3/10/2008,2007,134609,1113,Auto,19228,37935,39274,41729,1598,128,1230,Sports Car,AVAIL,MINI
BMW 3 Series 316i,58888,23500,5/22/2015,2014,93465,742,Auto,27260,26620,75002,19268,1598,100,1405,Luxury Sedan,AVAIL,BMW
Nissan X-Trail 2.0A Premium 7-Seater Sunroof,106790,15289,4/26/2018,2017,53584,1210,Auto,42368,24640,37605,26496,1997,106,1626,SUV,SOLD,NISSAN
BMW 2 Series 216d Gran Tourer,73800,16840,11/25/2016,2016,107017,1082,Auto,35316,31478,50951,26070,1496,85,1480,MPV,AVAIL,BMW
Subaru Impreza WRX-S 2.5M (COE till 08/2030),89800,12170,10/20/2010,2008,148810,2275,Manual,24275,21965,32914,21965,2457,169,1395,Sports Car,AVAIL,SUBARU
Chevrolet Orlando 1.4A Turbo,57970,13444,6/1/2017,2017,98901,604,Auto,30494,16378,53106,16378,1362,103,1650,MPV,AVAIL,CHEVROLET
Audi Q2 1.0A TFSI S-tronic,127800,15770,8/6/2020,2019,30488,392,Auto,42962,23674,33000,25144,999,85,1315,SUV,AVAIL,AUDI
BYD T3 Electric,101800,11540,2/10/2022,2021,37253,370,Auto,22873,20000,25936,1000,1399,78,1640,Van,AVAIL,BYD
Bentley Continental GT 4.0A V8 (COE till 01/2033),298800,30550,1/25/2013,2012,72000,4334,Auto,105707,169897,108106,169897,3993,373,2295,Sports Car,AVAIL,BENTLEY
BMW 2 Series 218i Active Tourer,75540,18696,6/16/2015,2015,54033,684,Auto,40974,25428,75000,17600,1499,100,1360,Hatchback,SOLD,BMW
MINI Cooper Clubman 1.6A (COE till 03/2029),74800,12560,3/30/2009,2008,167490,1039,Auto,15189,30712,25525,30712,1598,88,1185,Hatchback,AVAIL,MINI
Kia Carens Diesel 1.7A SX,86800,14530,6/26/2018,2018,75935,1318,Auto,36994,21909,38501,22673,1685,104,1525,MPV,AVAIL,KIA
Mazda CX-9 2.5A Turbo Luxury,128119,20454,7/31/2018,2018,60123,1786,Auto,49588,34379,37989,40131,2488,170,1976,SUV,SOLD,MAZDA
BMW X2 sDrive18i M-Sport Lite,157917,19531,12/8/2020,2020,30725,684,Auto,60939,36814,41503,43540,1499,103,1415,SUV,SOLD,BMW
BMW 3 Series 320i (COE till 04/2032),128800,14240,5/31/2012,2012,143000,1331,Auto,80341,38078,88862,38078,1997,135,1420,Luxury Sedan,AVAIL,BMW
Honda Civic Type R 2.0M (COE till 12/2028),115000,20400,12/5/2008,2008,48781,1815,Manual,40471,27511,31553,27511,1998,165,1270,Sports Car,AVAIL,HONDA
Audi A3 Sedan 1.4A TFSI Ambiente,59800,17150,5/20/2016,2016,120000,624,Auto,23370,22584,47020,13618,1395,92,1310,Luxury Sedan,AVAIL,AUDI
Hyundai i30 1.4A T-GDi DCT Turbo,97800,13440,11/28/2019,2019,46000,600,Auto,34385,17616,32000,17616,1353,96,1240,Hatchback,AVAIL,HYUNDAI
Porsche Panamera 3.6A PDK (COE till 12/2030),145800,18900,1/3/2011,2010,125354,4332,Auto,31389,115664,40714,115664,3605,300,1760,Sports Car,AVAIL,PORSCHE
Honda City 1.5A SV,60800,13580,3/30/2017,2016,80000,684,Auto,28886,18293,50789,13293,1497,88,1096,Mid-Sized Sedan,SOLD,HONDA
BMW 2 Series 216i Gran Tourer Luxury,134484,20337,1/30/2019,2018,60393,684,Auto,47031,33319,26170,38647,1499,80,1490,MPV,SOLD,BMW
Ssangyong Tivoli Diesel 1.6A Standard,87005,12889,3/10/2020,2020,86716,1182,Auto,32348,19824,32699,19824,1597,97,1425,SUV,SOLD,SSANGYONG
BMW 4 Series 428i Coupe Sunroof (New 10-yr COE),185800,18560,8/27/2014,2014,81000,1210,Auto,68093,51267,58486,59281,1997,180,1470,Sports Car,AVAIL,BMW
Kia Seltos 1.4A SX Sunroof,132300,14500,8/27/2021,2020,31000,600,Auto,60631,21457,57700,22040,1353,103,1323,SUV,AVAIL,KIA
BMW 7 Series 740Li Sunroof (COE till 10/2028),123608,18368,2/20/2009,2009,115333,3543,Auto,24142,95682,32279,95682,2979,240,1895,Luxury Sedan,SOLD,BMW
BMW 5 Series 530i Luxury,130800,24870,4/28/2017,2017,84650,1210,Auto,64687,49363,54405,61109,1998,185,1540,Luxury Sedan,AVAIL,BMW
Suzuki Swift 1.2A XG (COE till 01/2024),14314,11991,1/8/2009,2008,126968,801,Auto,3482,11127,13024,11127,1242,66,1000,Hatchback,SOLD,SUZUKI
Toyota Camry Hybrid 2.5A Ascent Sport,194988,18940,10/17/2022,2021,68,1784,Auto,126804,37749,114001,29849,2487,160,1570,Luxury Sedan,AVAIL,TOYOTA
Mercedes-Benz E-Class E200 Exclusive,143800,22670,1/25/2018,2017,70000,1202,Auto,75395,55048,53711,71087,1991,135,1605,Luxury Sedan,AVAIL,MERCEDES-BENZ
Nissan Cabstar,49800,12660,3/24/2017,2016,82768,739,Manual,19583,25665,49810,1284,2953,106,1800,Truck,AVAIL,NISSAN
Land Rover Defender 110 3.0P XS Edition MHEV 7 Seater,370888,35530,4/26/2022,2022,13000,2382,Auto,164335,71158,98889,100085,2996,294,2418,SUV,AVAIL,LAND-ROVER
BMW 5 Series 530e Plug-in Hybrid,305963,29853,2/22/2022,2021,4948,1210,Auto,132634,59633,86102,79340,1998,215,1835,Luxury Sedan,SOLD,BMW
Honda Shuttle 1.5A G Honda Sensing (OPC),82248,12385,1/27/2021,2020,44843,182,Auto,21746,20761,23609,6066,1496,95,1130,Stationwagon,AVAIL,HONDA
Mazda CX-5 2.0A,58800,16990,1/4/2016,2015,88000,1210,Auto,30737,23748,60689,25248,1998,121,1528,SUV,AVAIL,MAZDA
Mazda 3 HB 1.5A Sunroof,84800,13320,1/16/2019,2018,81085,682,Auto,27168,16350,25920,16350,1496,88,1329,Hatchback,AVAIL,MAZDA
Mazda 6 2.0A,68800,15210,2/28/2017,2016,98089,1210,Auto,32524,19931,50621,19931,1998,121,1472,Luxury Sedan,AVAIL,MAZDA
Jaguar I-PACE Electric,255000,33820,1/31/2019,2018,28000,3386,Auto,108050,86710,33689,118078,2658,294,2208,SUV,AVAIL,JAGUAR
Honda Jazz 1.5A RS,42800,16230,8/20/2015,2015,155000,684,Auto,18896,14574,56209,9574,1498,96,1046,Hatchback,AVAIL,HONDA
Mercedes-Benz GLA-Class GLA200 AMG Line Premium,231888,23540,3/2/2022,2020,88,586,Auto,100514,38339,93102,45675,1332,120,1485,SUV,AVAIL,MERCEDES-BENZ
Honda Odyssey 2.4A EXV-S Sunroof,57787,23660,2/2/2015,2014,38000,1630,Auto,30588,27519,76889,30527,2356,129,1855,MPV,AVAIL,HONDA
Mercedes-Benz A-Class A180 Progressive,114800,16230,4/18/2019,2018,90000,586,Auto,48174,30464,36961,34650,1332,100,1365,Hatchback,AVAIL,MERCEDES-BENZ
Lexus ES250 Sunroof,105935,29502,5/19/2015,2015,100486,1792,Auto,52746,34805,77600,40727,2494,135,1615,Luxury Sedan,AVAIL,LEXUS
Mercedes-Benz GLA-Class GLA180 Urban Edition,139800,16530,11/20/2020,2019,36019,740,Auto,49954,26029,37690,28441,1595,90,1435,SUV,AVAIL,MERCEDES-BENZ
Hyundai Avante 1.6A GLS Elite,85000,12050,8/7/2019,2019,23000,738,Auto,31486,17940,28589,17940,1591,94,1345,Mid-Sized Sedan,AVAIL,HYUNDAI
Perodua Myvi 1.3M SX (COE till 09/2029),44000,6810,10/9/2009,2008,183,792,Manual,19040,8486,29485,8486,1298,64,940,Hatchback,AVAIL,PERODUA
Mitsubishi ASX 2.0A,39700,13170,10/1/2015,2015,151850,1210,Auto,22963,14647,57885,14647,1998,110,1355,SUV,AVAIL,MITSUBISHI
Audi A3 2.0A TFSI Quattro S-Line (COE till 04/2029),72800,12050,6/10/2009,2009,150375,1672,Auto,21382,36088,35411,36088,1984,188,1415,Hatchback,AVAIL,AUDI
Mercedes-Benz E-Class E220d Sport,222800,23490,7/23/2021,2020,14682,1734,Auto,89192,46550,56032,57170,1950,143,1750,Luxury Sedan,AVAIL,MERCEDES-BENZ
Toyota Harrier 2.0A Premium,60735,16189,5/29/2015,2015,104124,1196,Auto,23086,29951,78000,23932,1986,111,1610,SUV,SOLD,TOYOTA
BMW 1 Series 116d,55293,16444,12/29/2015,2015,98706,1082,Auto,23139,23307,54301,9630,1496,85,1350,Hatchback,SOLD,BMW
BMW 6 Series 635 CSI (COE till 02/2032),128888,14210,2/28/2022,1980,61871,280,Manual,7145,9836,8059,9836,3453,160,1500,Sports Car,AVAIL,BMW
Toyota Prius Plus Hybrid 1.8A,105000,17300,8/31/2018,2018,87890,976,Auto,36478,30006,34381,24009,1798,100,1500,MPV,AVAIL,TOYOTA
Volvo XC60 T5 2.0A,38000,16330,5/30/2014,2013,120869,1176,Auto,29315,37494,68103,39492,1969,180,1722,SUV,AVAIL,VOLVO
Honda City 1.5A SV,77500,12900,8/17/2018,2018,56920,684,Auto,30390,17263,32699,17263,1497,88,1096,Mid-Sized Sedan,AVAIL,HONDA
Audi A3 Sedan 1.4A TFSI Ambiente,54800,15820,4/29/2016,2016,130000,624,Auto,23184,22584,47300,13618,1395,92,1310,Luxury Sedan,AVAIL,AUDI
Kia Carens Diesel 1.7A,65000,13220,6/22/2017,2017,92000,1318,Auto,35769,23188,53001,19464,1685,104,1525,MPV,AVAIL,KIA
