model,price,depreciation,registration_date,reg_age,manufactured_year,manufactured_age,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,types,status,posted_date,updated_date,maker
Mercedes-Benz E-Class E200 AMG Line,119588,24270,14-10-16,7.00,2016,7.00,55000,1202,Auto,64966,54213,56500,69584,1991,135,1605,Luxury Sedan,AVAIL,13-04-23,13-04-23,MERCEDES-BENZ
Mercedes-Benz A-Class A45 AMG 4MATIC (New 10-yr COE),193045,23111,12-11-13,10.00,2013,10.00,36410,1202,Auto,77272,49584,48535,61418,1991,265,1555,Sports Car,SOLD,09-04-23,12-04-23,MERCEDES-BENZ
Hyundai Elantra 1.6A GLS S,62800,12850,08-09-17,6.00,2017,6.00,72065,738,Auto,29416,12674,46778,12674,1591,94,1345,Mid-Sized Sedan,AVAIL,11-04-23,11-04-23,HYUNDAI
Honda Mobilio 1.5A RS i-VTEC Luxe,53800,14920,29-03-16,7.00,2016,7.00,85000,684,Auto,26886,19628,51301,19628,1497,88,1160,MPV,AVAIL,05-04-23,08-04-23,HONDA
Volkswagen Jetta GLI 2.0A (COE till 03/2029),108979,14587,12-03-09,14.00,2008,15.00,109305,1791,Auto,21644,29433,33018,29433,1984,147,1526,Mid-Sized Sedan,SOLD,12-04-23,15-04-23,VOLKSWAGEN
Volvo S60 T2,76800,14360,07-11-17,6.00,2017,6.00,129000,684,Auto,35408,25458,42902,22642,1498,90,1558,Luxury Sedan,AVAIL,14-04-23,14-04-23,VOLVO
Porsche Macan GTS 3.0A PDK,217800,40690,18-01-17,6.00,2016,7.00,90000,2382,Auto,104348,87726,53001,129907,2997,265,1970,SUV,AVAIL,14-04-23,14-04-23,PORSCHE
Hyundai Elantra 1.6A GLS,61333,12407,17-10-17,6.00,2017,6.00,88887,738,Auto,25241,10984,41761,10984,1591,94,1345,Mid-Sized Sedan,SOLD,29-03-23,07-04-23,HYUNDAI
Honda Vezel 1.5A X,85033,12833,01-06-18,5.00,2018,5.00,84274,682,Auto,29544,21749,38001,12449,1496,96,1190,SUV,SOLD,26-03-23,29-03-23,HONDA
BMW 3 Series 318i Sunroof (COE till 03/2025),116194,11610,01-04-10,13.00,2009,14.00,98030,1570,Auto,5795,30338,17708,30338,1995,100,1390,Luxury Sedan,SOLD,07-04-23,09-04-23,BMW
Honda Fit 1.3A G F-Package,104000,19590,21-06-18,5.00,2018,5.00,42000,578,Auto,21412,14765,34110,5000,1317,73,1030,Hatchback,AVAIL,06-04-23,17-04-23,HONDA
Mercedes-Benz GL-Class GL350d BlueTEC AMG Line,183000,36540,19-09-16,7.00,2016,7.00,89500,3366,Auto,94720,79828,57002,115691,2987,190,2455,SUV,AVAIL,13-04-23,13-04-23,MERCEDES-BENZ
BMW 7 Series 740Li (COE till 09/2032),183800,19450,27-09-12,11.00,2012,11.00,99867,2598,Auto,101372,96665,107249,96665,2979,235,1845,Luxury Sedan,AVAIL,15-04-23,15-04-23,BMW
Maserati GranTurismo 4.2A (COE till 12/2031),173800,19950,19-01-12,11.00,2011,12.00,139000,5198,Auto,64411,103856,73954,103856,4244,298,1880,Sports Car,AVAIL,24-03-23,17-04-23,MASERATI
Porsche Cayenne 3.6A Tip,122800,45180,19-09-14,9.00,2013,10.00,119000,3322,Auto,74520,80488,71990,116879,3598,220,2105,SUV,AVAIL,12-04-23,14-04-23,PORSCHE
Honda Jazz 1.3A,67800,12700,30-05-18,5.00,2018,5.00,76800,578,Auto,23633,15567,38000,5567,1318,73,1052,Hatchback,AVAIL,16-04-23,16-04-23,HONDA
Toyota Wish 1.8A Elegance,78664,14841,28-03-17,6.00,2017,6.00,102553,976,Auto,31700,19955,50621,19955,1798,105,1360,MPV,SOLD,08-04-23,15-04-23,TOYOTA
BMW 2 Series 225xe Plug-in Hybrid Active Tourer iPerformance,145800,17220,06-04-20,3.00,2020,3.00,31700,684,Auto,61264,42497,32500,51496,1499,165,1675,Hatchback,AVAIL,03-04-23,17-04-23,BMW
Mazda 6 2.0A Executive,85500,14680,22-05-18,5.00,2017,6.00,71000,1210,Auto,35591,20925,38501,21295,1998,121,1472,Luxury Sedan,AVAIL,31-03-23,31-03-23,MAZDA
Hyundai Avante 1.6A (COE till 11/2024),16800,10450,25-11-09,14.00,2009,14.00,164388,1033,Auto,5204,11400,16208,11400,1591,90,1264,Mid-Sized Sedan,AVAIL,01-04-23,01-04-23,HYUNDAI
Rolls-Royce Ghost 6.75A,1588000,145700,14-05-22,1.00,2021,2.00,800,8250,Auto,463982,310140,87000,530252,6749,420,2490,Luxury Sedan,AVAIL,28-03-23,11-04-23,ROLLS-ROYCE
Peugeot 3008 1.6A e-THP EAT6 Allure,80800,14420,13-12-17,6.00,2017,6.00,79000,742,Auto,42014,28779,49189,27291,1598,122,1300,SUV,AVAIL,15-04-23,16-04-23,PEUGEOT
Kia Stonic 1.0T SX Sunroof,92800,12860,24-02-20,3.00,2019,4.00,44000,392,Auto,27438,19145,30010,9145,998,89,1185,SUV,AVAIL,12-04-23,12-04-23,KIA
Honda Shuttle 1.5A G LED,83800,13410,27-02-19,4.00,2018,5.00,53000,682,Auto,22847,20129,25920,10181,1496,97,1130,Stationwagon,AVAIL,14-04-23,14-04-23,HONDA
Toyota Alphard 2.5A SA Moonroof,98701,26744,13-01-16,7.00,2015,8.00,99799,1792,Auto,43176,34374,57501,40124,2493,134,2000,MPV,SOLD,29-03-23,03-04-23,TOYOTA
Nissan Sylphy 1.5A Premium (COE till 11/2023),7300,11900,28-11-08,15.00,2008,15.00,166000,1026,Auto,1821,19556,14835,19556,1498,80,1175,Mid-Sized Sedan,AVAIL,13-04-23,17-04-23,NISSAN
Audi A3 Sedan 1.0A TFSI S-tronic,79800,16170,22-09-17,6.00,2017,6.00,49500,392,Auto,30392,24475,42902,16265,999,85,1280,Luxury Sedan,AVAIL,11-04-23,11-04-23,AUDI
Honda Shuttle 1.5A G Honda Sensing,75810,11784,04-04-20,3.00,2019,4.00,53579,682,Auto,28214,20408,31210,10572,1496,95,1130,Stationwagon,SOLD,04-04-23,12-04-23,HONDA
Honda Jazz 1.3A L (COE till 08/2026),94186,12904,25-08-11,12.00,2009,14.00,103323,708,Auto,26285,19656,23179,19656,1339,73,1090,Hatchback,SOLD,05-04-23,09-04-23,HONDA
BMW 7 Series 730Li Sunroof,178800,26030,22-12-17,6.00,2017,6.00,96000,1210,Auto,102172,78795,49000,113831,1998,190,1720,Luxury Sedan,AVAIL,14-04-23,14-04-23,BMW
BMW 3 Series 316i M-Sport (New 10-yr COE),128888,12880,20-09-13,10.00,2013,10.00,60000,742,Auto,52404,36211,60936,32696,1598,100,1405,Luxury Sedan,AVAIL,29-03-23,12-04-23,BMW
Toyota Wish 1.8A (COE till 01/2027),44800,12060,03-01-07,16.00,2007,16.00,130000,1458,Auto,19564,18023,52660,19826,1794,97,1300,MPV,AVAIL,14-04-23,14-04-23,TOYOTA
Toyota Dyna 150 2.8M,97800,10340,30-09-22,1.00,2022,1.00,28582,868,Manual,36638,31609,38728,1581,2755,87,1800,Truck,AVAIL,14-04-23,14-04-23,TOYOTA
Land Rover Range Rover Evoque 2.0A 5DR,124800,20710,16-11-17,6.00,2017,6.00,64000,1212,Auto,63826,48377,49000,59728,1999,177,1720,SUV,AVAIL,13-04-23,14-04-23,LAND-ROVER
Volkswagen Jetta GP 1.4A TSI Highline Sunroof,63792,13788,28-01-16,7.00,2015,8.00,98248,620,Auto,33755,21906,51301,22669,1390,90,1417,Mid-Sized Sedan,SOLD,27-03-23,09-04-23,VOLKSWAGEN
Honda Jazz 1.3A,76800,12590,26-02-19,4.00,2019,4.00,47392,578,Auto,19445,15949,25556,5949,1318,73,1052,Hatchback,SOLD,31-03-23,05-04-23,HONDA
Honda City 1.5A SV,88434,12956,02-11-20,3.00,2020,3.00,83552,684,Auto,33817,18482,37334,18482,1498,89,1119,Mid-Sized Sedan,SOLD,25-03-23,07-04-23,HONDA
BMW 6 Series 640i Cabriolet M-Sport,163000,31540,21-10-16,7.00,2016,7.00,35000,2362,Auto,86509,73596,53001,104473,2979,235,1820,Sports Car,AVAIL,12-04-23,12-04-23,BMW
Subaru XV 2.0i-S EyeSight,75800,13980,19-02-18,5.00,2017,6.00,90000,1208,Auto,31782,16133,42322,16133,1995,115,1489,SUV,AVAIL,03-04-23,16-04-23,SUBARU
Honda Civic 1.6A VTi,80300,14250,26-03-18,5.00,2018,5.00,115000,742,Auto,34721,19724,42339,19724,1597,92,1249,Mid-Sized Sedan,AVAIL,30-03-23,05-04-23,HONDA
Lamborghini Urus,780000,103110,17-07-19,4.00,2019,4.00,56000,3944,Auto,229582,165932,47000,270678,3996,478,2320,SUV,AVAIL,07-04-23,07-04-23,LAMBORGHINI
Audi Q2 1.0A TFSI S-tronic,107800,15770,30-04-19,4.00,2019,4.00,55000,392,Auto,38897,23667,33199,25134,999,85,1315,SUV,AVAIL,14-04-23,14-04-23,AUDI
Toyota Prius Plus Hybrid 1.8A,97639,13114,29-09-20,3.00,2020,3.00,89887,976,Auto,33849,27507,41510,20510,1798,100,1500,MPV,SOLD,14-04-23,17-04-23,TOYOTA
Honda Vezel 1.5A X Honda Sensing,82800,13260,28-01-19,4.00,2018,5.00,60823,682,Auto,24122,21553,25920,12175,1496,96,1190,SUV,AVAIL,10-04-23,10-04-23,HONDA
Suzuki Swift 1.5A (COE till 05/2024),13300,11930,18-05-09,14.00,2009,14.00,149246,952,Auto,3109,13224,13943,13224,1490,74,1060,Hatchback,SOLD,05-04-23,07-04-23,SUZUKI
Jeep Renegade Limited 1.4A,107800,14270,20-12-19,4.00,2019,4.00,59373,608,Auto,43987,23507,37900,24910,1368,103,1395,SUV,AVAIL,12-04-23,12-04-23,JEEP
Honda Jazz 1.5A RS,71800,12360,01-06-18,5.00,2018,5.00,87000,684,Auto,32409,16905,38510,16905,1498,96,1088,Hatchback,AVAIL,11-04-23,11-04-23,HONDA
Mercedes-Benz B-Class B180 Style,61800,16490,29-04-16,7.00,2015,8.00,96000,740,Auto,28957,26108,45000,23552,1595,90,1425,Hatchback,AVAIL,13-04-23,17-04-23,MERCEDES-BENZ
Porsche Cayenne 3.6A Tip (New 10-yr COE),202800,20260,15-01-14,9.00,2013,10.00,100000,3322,Auto,100680,80956,53488,117721,3598,220,2105,SUV,AVAIL,13-04-23,13-04-23,PORSCHE
Honda Vezel 1.5A X,49800,14600,11-05-16,7.00,2016,7.00,108000,682,Auto,20655,20054,46009,10076,1496,96,1190,SUV,AVAIL,14-04-23,14-04-23,HONDA
BMW 2 Series 216i Gran Coupe Sport,158793,15697,19-08-22,1.00,2022,1.00,4567,684,Auto,100170,33582,87889,24015,1499,80,1375,Luxury Sedan,SOLD,01-04-23,05-04-23,BMW
Subaru Forester 2.0i-L Sunroof,86800,14040,27-12-18,5.00,2018,5.00,102000,1208,Auto,27868,13602,31001,13602,1995,110,1591,SUV,AVAIL,15-04-23,15-04-23,SUBARU
Lexus GS300 (COE till 05/2026),158228,19548,27-06-06,17.00,2006,17.00,101114,3570,Auto,60016,49476,46048,54424,2994,170,1660,Luxury Sedan,SOLD,03-04-23,10-04-23,LEXUS
BMW 3 Series 335i (COE till 10/2029),108888,16850,02-10-09,14.00,2008,15.00,167253,3307,Auto,24227,51938,37502,51938,2979,225,1625,Luxury Sedan,AVAIL,30-03-23,14-04-23,BMW
BMW X6 xDrive35i Sunroof,87500,36900,30-01-14,9.00,2013,10.00,76000,2362,Auto,65325,80535,92289,116963,2979,225,2070,SUV,AVAIL,08-04-23,17-04-23,BMW
Honda Shuttle Hybrid 1.5A,92800,14630,12-03-19,4.00,2018,5.00,42000,682,Auto,29705,22044,33989,12862,1496,101,1190,Stationwagon,AVAIL,04-04-23,04-04-23,HONDA
Volkswagen Golf Variant 1.4A TSI R-Line Sunroof,88913,14437,24-05-17,6.00,2015,8.00,94232,624,Auto,33543,27716,51106,20803,1395,92,1347,Stationwagon,SOLD,07-04-23,12-04-23,VOLKSWAGEN
Honda Fit 1.3A G Skyroof (COE till 01/2029),87649,13974,05-01-09,14.00,2008,15.00,65710,885,Auto,24207,16063,26047,16063,1339,73,1010,Hatchback,SOLD,26-03-23,29-03-23,HONDA
BMW X3 sDrive20i xLine,153566,24186,09-11-20,3.00,2020,3.00,70036,1210,Auto,60065,44437,39000,54212,1998,135,1685,SUV,SOLD,31-03-23,06-04-23,BMW
Lexus RX300 Luxury Sunroof,223800,24040,09-12-20,3.00,2019,4.00,69000,1210,Auto,90373,59914,39889,79846,1998,175,1965,SUV,AVAIL,17-04-23,17-04-23,LEXUS
Hyundai Accent 1.4A,81800,11380,01-02-20,3.00,2019,4.00,51136,608,Auto,30492,8939,35010,8939,1368,74,1115,Mid-Sized Sedan,AVAIL,12-04-23,17-04-23,HYUNDAI
Toyota Corolla Altis 1.6A Elegance (COE till 03/2025),22800,11920,16-03-10,13.00,2010,13.00,130000,1039,Auto,6350,16716,16604,16716,1598,80,1195,Mid-Sized Sedan,AVAIL,17-04-23,17-04-23,TOYOTA
Volkswagen Golf 1.4A TSI Sunroof,99655,13265,30-10-13,10.00,2013,10.00,61840,624,Auto,87879,25405,85000,12567,1395,103,1288,Hatchback,SOLD,08-04-23,12-04-23,VOLKSWAGEN
Honda Vezel 1.5A X Honda Sensing,76600,14180,27-03-18,5.00,2017,6.00,48121,682,Auto,27825,22085,38000,12919,1496,96,1190,SUV,AVAIL,06-04-23,12-04-23,HONDA
Toyota Corolla Altis 1.6A Elegance,69800,14140,10-07-17,6.00,2016,7.00,101000,742,Auto,33646,19990,46489,19990,1598,90,1215,Mid-Sized Sedan,AVAIL,03-04-23,17-04-23,TOYOTA
Toyota Hiace 3.0M,65800,11800,12-11-18,5.00,2018,5.00,46517,590,Manual,15259,28136,27383,1407,2982,89,1700,Van,AVAIL,04-04-23,15-04-23,TOYOTA
Subaru Impreza WRX 2.0M (COE till 03/2027),103000,26040,22-05-07,16.00,2005,18.00,132988,1809,Manual,19904,18817,50347,20699,1994,165,1395,Sports Car,AVAIL,25-03-23,25-03-23,SUBARU
Bentley Bentayga 4.0A,1088988,100520,13-05-22,1.00,2022,1.00,88,3944,Auto,348444,187807,92090,353176,3996,404,2490,SUV,AVAIL,09-04-23,10-04-23,BENTLEY
Mercedes-Benz EQA250 Electric AMG Line Premium,248000,25530,19-05-22,1.00,2021,2.00,8000,1736,Auto,113640,58145,98889,31661,2097,140,2040,SUV,AVAIL,27-03-23,27-03-23,MERCEDES-BENZ
Volvo S60 T5,113264,16199,29-06-18,5.00,2018,5.00,64228,1176,Auto,45289,26813,38700,29539,1969,180,1557,Luxury Sedan,SOLD,31-03-23,07-04-23,VOLVO
Mitsubishi Lancer EX 2.0M GT Sunroof (COE till 02/2029),78888,13500,18-02-09,14.00,2008,15.00,159000,1815,Manual,18652,19165,31933,19165,1998,114,1397,Mid-Sized Sedan,AVAIL,07-04-23,13-04-23,MITSUBISHI
Honda HR-V 1.5A LX,92800,13610,09-04-19,4.00,2019,4.00,43223,682,Auto,32995,21960,26659,22744,1496,96,1200,SUV,AVAIL,07-04-23,15-04-23,HONDA
BMW X3 xDrive30i,189998,26680,27-03-19,4.00,2018,5.00,19534,1210,Auto,67592,50433,35310,62780,1998,185,1715,SUV,AVAIL,14-04-23,14-04-23,BMW
Audi A4 1.8A TFSI MU (COE till 10/2031),108800,12780,20-10-11,12.00,2011,12.00,103695,1171,Auto,51573,31666,60586,31666,1798,118,1450,Luxury Sedan,AVAIL,13-04-23,13-04-23,AUDI
Subaru Forester 2.0A XT Sunroof,81800,16040,17-11-17,6.00,2017,6.00,87000,1210,Auto,37853,16481,57414,16481,1998,177,1682,SUV,AVAIL,11-04-23,17-04-23,SUBARU
Mercedes-Benz CLA-Class CLA250 AMG Line,77008,24791,19-07-21,2.00,2021,2.00,86539,1202,Auto,43182,40428,61190,48600,1991,165,1490,Luxury Sedan,SOLD,09-04-23,11-04-23,MERCEDES-BENZ
Honda Vezel 1.5A G,69937,13622,13-08-15,8.00,2015,8.00,86123,682,Auto,32008,17139,56209,17139,1496,96,1180,SUV,SOLD,05-04-23,08-04-23,HONDA
Toyota Wish 2.0A (COE till 03/2025),28800,15080,15-03-10,13.00,2010,13.00,148000,1677,Auto,6763,22003,17708,22003,1987,106,1380,MPV,AVAIL,15-04-23,17-04-23,TOYOTA
Lexus IS Turbo IS300 Executive,124366,19950,17-05-18,5.00,2018,5.00,89000,1210,Auto,53301,38430,38389,45802,1998,180,1620,Luxury Sedan,AVAIL,17-04-23,17-04-23,LEXUS
Audi Q7 3.0A TFSI Quattro S-Line,83800,24950,17-10-14,9.00,2014,9.00,102000,2380,Auto,61742,67044,72003,92680,2995,200,2250,SUV,AVAIL,17-04-23,17-04-23,AUDI
Nissan Qashqai 1.2A DIG-T Premium,57469,13897,22-08-16,7.00,2016,7.00,83566,508,Auto,28097,18689,52503,13689,1197,85,1285,SUV,SOLD,01-04-23,02-04-23,NISSAN
Honda Fit 1.3A G F-Package,84607,13534,30-12-19,4.00,2019,4.00,75838,578,Auto,20975,17298,26999,7298,1317,73,1030,Hatchback,SOLD,01-04-23,03-04-23,HONDA
BMW 2 Series 216i Active Tourer,130800,13790,06-07-21,2.00,2021,2.00,30000,684,Auto,65902,31169,47821,35637,1499,80,1380,Hatchback,SOLD,02-04-23,05-04-23,BMW
Mercedes-Benz C-Class C200K (COE till 03/2029),77888,13070,23-06-09,14.00,2009,14.00,143863,1364,Auto,19666,43096,33018,43096,1796,135,1490,Luxury Sedan,AVAIL,30-03-23,30-03-23,MERCEDES-BENZ
BMW 2 Series 218i Gran Coupe Luxury,143800,16140,27-11-20,3.00,2020,3.00,25000,684,Auto,60976,35546,39500,41765,1499,103,1375,Luxury Sedan,AVAIL,08-04-23,08-04-23,BMW
BMW 1 Series 120i Cabriolet (COE till 10/2028),60000,10830,31-10-08,15.00,2008,15.00,123300,1812,Auto,17891,44862,32279,44862,1995,115,1460,Sports Car,AVAIL,15-04-23,15-04-23,BMW
Toyota Corolla Altis 1.6A Elegance (COE till 06/2030),71800,9970,29-06-10,13.00,2010,13.00,108000,965,Auto,23670,16680,32875,16680,1598,80,1195,Mid-Sized Sedan,AVAIL,07-04-23,17-04-23,TOYOTA
Lexus IS250 (COE till 01/2030),81800,12130,13-01-10,13.00,2009,14.00,196000,2520,Auto,26608,38495,39463,38495,2500,153,1625,Luxury Sedan,AVAIL,06-04-23,15-04-23,LEXUS
Toyota Wish 1.8A X (COE till 03/2029),63800,10710,15-03-10,13.00,2009,14.00,157902,1364,Auto,19675,21698,33018,21698,1797,106,1340,MPV,SOLD,02-04-23,04-04-23,TOYOTA
Volkswagen Tiguan 2.0A TSI Elegance Sunroof,179988,19330,27-09-21,2.00,2021,2.00,7000,1194,Auto,77826,29476,62600,33267,1984,140,1678,SUV,AVAIL,30-03-23,08-04-23,VOLKSWAGEN
BMW M240i Coupe,148480,15978,23-03-17,6.00,2016,7.00,106760,2384,Auto,57894,38220,53001,45508,2998,250,1485,Sports Car,SOLD,25-03-23,01-04-23,BMW
Lamborghini Huracan STO,1590000,133230,24-03-23,0.00,2022,1.00,50,5834,Auto,507865,268823,110000,531411,5204,470,2153,Sports Car,AVAIL,29-03-23,04-04-23,LAMBORGHINI
Mercedes-Benz S-Class S320L,223800,33390,22-12-17,6.00,2017,6.00,43000,2382,Auto,119605,90521,53711,134938,2996,200,1940,Luxury Sedan,AVAIL,14-04-23,14-04-23,MERCEDES-BENZ
Honda Jazz 1.5A RS,76800,13300,05-06-18,5.00,2018,5.00,76078,684,Auto,32461,16905,38510,16905,1498,96,1088,Hatchback,AVAIL,14-04-23,14-04-23,HONDA
Honda Vezel Hybrid 1.5A X Honda Sensing,66515,16302,05-06-17,6.00,2017,6.00,66412,682,Auto,24192,26303,53001,5000,1496,112,1280,SUV,SOLD,06-04-23,14-04-23,HONDA
Jaguar XE 2.0A Prestige,78800,16260,31-05-16,7.00,2015,8.00,87000,1212,Auto,51763,45800,49000,56120,1999,147,1585,Luxury Sedan,AVAIL,13-04-23,13-04-23,JAGUAR
Toyota Raize 1.0A XS,96500,12010,04-12-20,3.00,2020,3.00,47520,392,Auto,35950,19575,37690,9575,996,72,970,SUV,AVAIL,10-04-23,10-04-23,TOYOTA
Mercedes-Benz B-Class B200 Chrome (New 5-yr COE),75800,15140,02-05-13,10.00,2013,10.00,54129,740,Auto,38067,25564,38540,15564,1595,115,1425,Hatchback,AVAIL,17-04-23,17-04-23,MERCEDES-BENZ
Toyota Raize 1.0A X,88000,11660,18-06-20,3.00,2019,4.00,31000,392,Auto,28969,18789,31210,8789,996,72,970,SUV,AVAIL,27-03-23,16-04-23,TOYOTA
Mazda 2 1.5A,44800,12830,31-05-16,7.00,2016,7.00,80000,682,Auto,20847,14519,47020,9519,1496,85,1079,Mid-Sized Sedan,AVAIL,31-03-23,17-04-23,MAZDA
Lamborghini Gallardo LP560-4 (COE till 07/2029),297888,47770,11-07-09,14.00,2008,15.00,74000,8168,Auto,26730,259436,42885,259436,5204,412,1500,Sports Car,AVAIL,01-04-23,13-04-23,LAMBORGHINI
BMW 3 Series 330i Luxury,159800,21200,25-04-19,4.00,2019,4.00,30000,1210,Auto,74116,51230,43102,64214,1998,190,1470,Luxury Sedan,AVAIL,09-04-23,09-04-23,BMW
Mercedes-Benz AMG GT Roadster C 4.0A,469855,56878,16-05-19,4.00,2017,6.00,35452,3922,Auto,168711,124156,33989,195481,3982,410,1735,Sports Car,AVAIL,04-04-23,09-04-23,MERCEDES-BENZ
Volkswagen Scirocco 2.0A TSI Sunroof (COE till 04/2030),83988,11930,03-05-10,13.00,2010,13.00,144317,1552,Auto,23636,27840,33568,27840,1984,147,1318,Sports Car,AVAIL,16-04-23,16-04-23,VOLKSWAGEN
BMW 3 Series 320i Highline,173800,19250,15-10-20,3.00,2020,3.00,33000,1210,Auto,74698,47796,40690,58915,1998,135,1460,Luxury Sedan,AVAIL,15-04-23,15-04-23,BMW
Infiniti Q70 2.5A,100898,23126,28-02-14,9.00,2013,10.00,132561,1794,Auto,42299,36658,75300,43322,2496,163,1670,Luxury Sedan,SOLD,28-03-23,12-04-23,INFINITI
Toyota Alphard 2.5A S C-Package Moonroof,238800,33120,29-07-19,4.00,2019,4.00,57000,1792,Auto,68528,49487,35906,61282,2493,134,2030,MPV,AVAIL,15-04-23,15-04-23,TOYOTA
Volkswagen Golf R 5DR Sunroof (COE till 07/2030),110888,15220,30-07-10,13.00,2010,13.00,140000,1552,Auto,24454,37774,33568,37774,1984,188,1466,Sports Car,AVAIL,29-03-23,09-04-23,VOLKSWAGEN
Honda N-Van Turbo Style Fun Honda Sensing,86888,8800,27-02-23,0.00,2022,1.00,29,649,Auto,63593,17086,64423,855,658,87,960,Van,AVAIL,13-04-23,13-04-23,HONDA
Honda Vezel 1.5A X Honda Sensing,51800,15170,10-05-16,7.00,2015,8.00,113800,682,Auto,20879,20484,45504,10678,1496,96,1190,SUV,AVAIL,14-04-23,14-04-23,HONDA
Mercedes-Benz E-Class E220d,106800,23350,14-10-16,7.00,2016,7.00,90423,1734,Auto,52057,51939,55201,50491,1950,143,1740,Luxury Sedan,AVAIL,04-04-23,11-04-23,MERCEDES-BENZ
Volkswagen Golf Cabriolet 1.4A TSI (COE till 01/2032),89800,10270,11-01-12,11.00,2011,12.00,151840,744,Auto,47214,34858,54039,34858,1390,118,1503,Sports Car,AVAIL,05-04-23,17-04-23,VOLKSWAGEN
Mazda CX-5 2.0A Premium,96800,16590,12-03-18,5.00,2018,5.00,88600,1210,Auto,47963,27806,54334,30929,1998,121,1571,SUV,AVAIL,14-04-23,14-04-23,MAZDA
Honda Shuttle Hybrid 1.5A,71800,15990,17-08-17,6.00,2017,6.00,64000,682,Auto,25158,20331,50101,5000,1496,101,1190,Stationwagon,AVAIL,14-04-23,14-04-23,HONDA
Volkswagen Polo 1.0A TSI Comfortline,111900,11920,07-12-21,2.00,2021,2.00,5200,392,Auto,53982,17814,47010,17814,999,85,1190,Hatchback,AVAIL,10-04-23,13-04-23,VOLKSWAGEN
Lexus ES Hybrid ES300h Luxury Sunroof,169800,23610,19-02-19,4.00,2019,4.00,55750,1784,Auto,66474,50857,32200,63543,2487,160,1680,Luxury Sedan,AVAIL,03-04-23,03-04-23,LEXUS
Mazda 3 1.5A Sunroof,62500,12950,28-09-17,6.00,2017,6.00,79028,682,Auto,27504,14761,46489,9761,1496,88,1310,Mid-Sized Sedan,AVAIL,25-03-23,03-04-23,MAZDA
Mitsubishi Outlander 2.0A,133800,14510,26-11-21,2.00,2021,2.00,15000,1210,Auto,81821,17673,79601,17673,1998,110,1480,SUV,AVAIL,16-04-23,16-04-23,MITSUBISHI
Honda Civic Type R 2.0M (COE till 08/2027),102000,23330,31-08-07,16.00,2007,16.00,145663,1815,Manual,22274,27478,50972,30226,1998,165,1270,Sports Car,AVAIL,07-04-23,07-04-23,HONDA
BMW 5 Series ActiveHybrid 5 Sunroof (COE till 02/2032),155800,17550,08-11-12,11.00,2012,11.00,145000,2598,Auto,71509,63366,80583,38020,2979,250,1850,Luxury Sedan,AVAIL,27-03-23,27-03-23,BMW
Audi A3 Sedan 1.0A TFSI S-tronic,85800,14790,12-03-18,5.00,2018,5.00,54000,392,Auto,36659,24701,36810,26582,999,85,1280,Luxury Sedan,AVAIL,15-04-23,17-04-23,AUDI
Porsche Macan Turbo 3.6A PDK,220000,50790,28-12-15,8.00,2015,8.00,64000,3330,Auto,115706,107698,60001,165857,3604,294,2000,SUV,AVAIL,13-04-23,13-04-23,PORSCHE
Honda Odyssey 2.4A Absolute Plus 20th Anniversary,100800,19620,23-06-17,6.00,2015,8.00,84795,1630,Auto,47930,32448,52000,37428,2356,140,1810,MPV,AVAIL,28-03-23,28-03-23,HONDA
Hyundai Santa Fe 2.4A GLS Sunroof,43800,18710,14-11-14,9.00,2014,9.00,78000,1634,Auto,26893,26111,70890,28556,2359,141,1874,SUV,AVAIL,14-04-23,14-04-23,HYUNDAI
BMW X5 xDrive35i 7-Seater,112553,29600,10-09-15,8.00,2014,9.00,88188,2362,Auto,63731,61676,60101,83017,2979,225,2030,SUV,AVAIL,11-04-23,11-04-23,BMW
Ferrari California 4.3A (COE till 07/2031),297552,36953,19-07-11,12.00,2011,12.00,80743,5297,Auto,43965,270017,57955,270017,4297,338,1780,Sports Car,SOLD,05-04-23,13-04-23,FERRARI
BMW 2 Series 216i Gran Tourer,100800,16050,28-06-18,5.00,2018,5.00,70000,684,Auto,45176,30479,36890,34671,1499,75,1480,MPV,AVAIL,05-04-23,17-04-23,BMW
BMW 2 Series 218i Convertible Sport,131366,20171,28-01-19,4.00,2018,5.00,66412,684,Auto,50149,36709,32909,43393,1499,100,1520,Sports Car,SOLD,14-04-23,16-04-23,BMW
BMW M235i Gran Coupe xDrive,259800,25190,08-04-22,1.00,2021,2.00,5200,1210,Auto,127917,52876,99999,67177,1998,225,1570,Sports Car,AVAIL,10-04-23,10-04-23,BMW
BMW M3 Sedan,222800,53060,25-07-16,7.00,2015,8.00,48000,2362,Auto,82617,70248,57390,98447,2979,317,1560,Sports Car,AVAIL,13-04-23,13-04-23,BMW
BMW 5 Series 523i XL (COE till 11/2027),58998,12770,29-11-07,16.00,2007,16.00,141098,2694,Auto,23173,52639,50168,57903,2497,140,1600,Luxury Sedan,AVAIL,14-04-23,14-04-23,BMW
Hyundai Avante 1.6A (COE till 02/2024),11310,12057,27-04-09,14.00,2009,14.00,167925,1033,Auto,2410,11704,12864,11704,1591,90,1264,Mid-Sized Sedan,SOLD,29-03-23,10-04-23,HYUNDAI
Honda Stream 1.8A (COE till 12/2028),64800,11430,16-12-08,15.00,2008,15.00,151000,1467,Auto,17886,23847,31553,23847,1799,103,1370,MPV,AVAIL,15-04-23,16-04-23,HONDA
