model,price,depreciation,registration_date,manufactured_year,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,number_of_owner,types,features,accessories,descriptions,category,status
Nissan NV350 2.5M,"$25,800","$11,010",20-Aug-2015,2015,N.A.,N.A.,Manual,N.A.,"$23,153","$41,506","$1,158","2,488 cc",3,"1,800 kg",3,Van,Features View specs of the Nissan NV350,NA,Description Well maintain. New cushion. New painting. Major servicing done. No repair need. Can take 100% loan. No hidden cost. Trade in welcome. Please call us now to arrange for the viewing.,CategoryPremium Ad Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
BMW 3 Series 318i,"$69,800","$17,440",27-Jul-2016,2016,"91,000 km (13.5k /yr)",$684 /yr,Auto,"$35,284","$27,352","$57,508","$25,293","1,499 cc",100.0 kW (134 bhp),"1,425 kg",2,Luxury Sedan,Features Powerful & Reliable 1.5L Turbocharged Engine! 8 Speed Transmission! LED Headlights! Keyless Entry! Push Start! SRS Airbags! Cruise / Traction Control! View specs of the BMW 318i,"Accessories Full LED Lights! Nice & Clean Black Leather Interior! Upgraded 18"" Sports Rims! Rear CF Spoiler! Sports Mode! Kick Release Trunk! Dual Memory Seats!",Description New Arrival! 2 Owner Only! New 2016 Facelift With Full LED Headlights! Classy Dark Brown! Genuine Low Mileage Done At 13000KM Annually! Very Mint Condition! Interior And Exterior Looks Like New! Powerful And Responsive Turbocharged Engine! Perfect Gearbox! Perfect Undercarriage! Road Tax Fully Paid Till 26/7/2023! Bank / In-House Full Loan Available! Hurry! Grab It Today Before It's Gone!,"This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair BillsComprehensive Vehicle Inspection","CategoryPARF Car, Premium Ad Car, Sgcarmart Warranty Cars"
BMW Z4 Roadster 2.5i (COE till 10/2028),"$59,800","$10,660",28-Oct-2008,2007,"182,000 km","$2,691 /yr",Auto,"$17,864","$43,620","$32,279","$43,620","2,496 cc",130.0 kW (174 bhp),"1,400 kg",4,Sports Car,Features 2.5l in-line 6 engine producing 174bhp. Black soft top. View specs of the BMW Z4,Accessories Factory fitted staggered rims(option to respray FOC). Upgraded sound system and pioneer fold out screen.,Description Full loan available. Bank loan available. Comes with 1 year engine and gearbox warranty. Call us now!,Additional Imported Used Vehicle.,"CategoryImported Used Vehicle, COE Car"
Audi S4 Avant 3.0A TFSI Quattro S-tronic (COE till 03/2030),"$118,800","$17,070",02-Jun-2010,2009,N.A.,"$3,094 /yr",Auto,"$24,646","$64,503","$35,416","$64,503","2,995 cc",245.0 kW (328 bhp),"1,750 kg",6,Stationwagon,"Features Powerful 3.0l V6 supercharged engine producing 328bhp Quattro 7 speed S-tronic, paddle shifter View specs of the Audi S4 Avant (2010-2013)","Accessories 19inch BBS rims, timing cover valve cover changed, dual pulley upgraded, new upholstery, apple/android system, bang&olufsen speaker","Description Greatly taken care by car enthusiast, major oil leak done, New Gearbox, maintained by reputable workshop, 100% accident free, etuners tuned. View to appreciate this beauty. Bank/in house loan available, full loan available too, trade in welcome. Contact us for viewing","CategoryCOE Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Skoda Karoq 1.5A TSI Style,"$104,800","$15,540",31-Jan-2019,2018,"63,000 km (15k /yr)",$684 /yr,Auto,"$40,821","$26,821","$32,200","$29,550","1,498 cc",110.0 kW (147 bhp),"1,393 kg",2,SUV,Features 1.5l 4 Cylinder TSI Turbocharged Engine. 148bhp. 250nm Torque. Front Wheel Drive. DSG 7 Speed Gearbox. LED Headlights/DRL. Keyless Entry/start/stop. View specs of the SKODA Karoq (2018-2022),Accessories Leather Seats. Canton Sound System. Reverse Camera & Sensors. Rear Aircon. Infotainment With Bluetooth. Nav. Front & Back Camera. Electric Gate.,Description Full Maintained And Serviced At Skoda Agent. Looking For A Powerful And Responsive Drive? This Won't Disappoint You. Signature DSG Gearbox Changes Gear Speed Seamlessly. Comfortable Interior For Your Daily Drive. AA Trust Certified Quality Preowned Vehicle! Immediate Loan Approval. STA/trade In Most Welcome. Flexible Bank/in House/full Loan Available!,CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Picnic 2.0A (COE till 12/2028),"$66,800","$11,690",06-Mar-2009,2009,"189,800 km (13.4k /yr)","$1,815 /yr",Auto,"$18,024","$23,511","$31,553","$23,511","1,998 cc",110.0 kW (147 bhp),"1,540 kg",2,MPV,Features View specs of the Toyota Picnic (2001-2009),NA,"Description Latest listing: everlasting look MPV unit! As per picture condition, we'll taken care of family car, 5 years and 9 months to be drive! At monthly $874 only. Primary colour: metallic black with brown leather interior, with no wear and tear repair needed, still have car warranty carriage for his unit, loan option: flexible competitive rates and high loan drive away available.","CategoryCOE Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mercedes-Benz E-Class E250,"$45,000","$28,820",13-Dec-2013,2013,"78,025 km (8.3k /yr)","$1,202 /yr",Auto,"$30,908","$46,610","$73,010","$52,254","1,991 cc",155.0 kW (207 bhp),"1,680 kg",2,Luxury Sedan,"Features Mercedes 2.0L 4 cylinders inline turbocharged, 207bhp, 7G-tronic transmission with paddle shifter, LED daytime running lights, Electric Tailgate. View specs of the Mercedes-Benz E-Class Saloon","Accessories Upgraded 19"" rims. Cruise control. Factory fitted audio system, electric memory leather seats, reverse camera.",Description Cycle & Carriage unit! Genuine low mileage! Good condition. High/flexible loan available! Trade-in welcome! STA check welcome! Viewing by appointment only!,"CategoryPARF Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Volkswagen Golf Cabriolet 1.4A TSI (COE till 01/2032),"$88,000","$10,070",10-Jan-2012,2011,"133,263 km (11.8k /yr)",$744 /yr,Auto,"$47,214","$35,353","$54,039","$35,353","1,390 cc",118.0 kW (158 bhp),"1,503 kg",4,Sports Car,Features View specs of the Volkswagen Golf GTI (2003-2009),Accessories Original Factory Fitted Items.,"Description Viewing By Appointment Please And Passing Through Do Not Miss! Well Taken Care By Owner And Service Done With No Repairs Needed. Sporty And Spacious To Fit Your Family Size And Not Only That, We Provide Warranty Protection Plan For Engine And Gearbox. High Trade-In Most Welcome, Bank/In House Loan Available Here! View Now And Grab This Beauty Before She's Gone!","This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair BillsComprehensive Vehicle Inspection","CategoryCOE Car, Sgcarmart Warranty Cars"
Porsche Macan 2.0A PDK Panoramic Roof,"$182,000","$38,960",28-Jul-2016,2016,"63,000 km (9.4k /yr)","$1,194 /yr",Auto,"$88,879","$75,799","$56,089","$108,439","1,984 cc",185.0 kW (248 bhp),"1,845 kg",3,SUV,"Features Reliable 2.0L Turbocharged Engine With 7 Speed PDK Transmission Producing 248bhp And 370nm Torque. 0 To 100km/h In 6.5 Seconds, Top Speed 230km/h. View specs of the Porsche Macan","Accessories Panoramic Roof, With Navi And Bluetooth, Power Tailgate, Comfort Entry And Drive, 14 Way Seats With Memory And Ventilation For Comfort. Sports Package","Description High Option Model From Stuttgart. See Center Console C ontrols. Full Panoramic Roof, 21"" Spyder Sports Rims. Beige Interior Leather Add On, 100% Accident Free, Pristine Inside Out. $40k Add On Options. Full Service Record With Stuttgart And Extended Warranty Package Until 2024, C-quartz Coating. 2 Owners Only (1 Transfer Due Carplate). WhatsApp If Interested. No Dealers Please.","CategoryPARF Car, Direct Owner Sale, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mercedes-Benz GLE-Class GLE450 Coupe Mild Hybrid 4MATIC,"$396,800","$39,570",25-Aug-2021,2021,"9,000 km (5.5k /yr)","$2,384 /yr",Auto,"$145,906","$88,898","$56,100","$132,017","2,999 cc",286.0 kW (383 bhp),"2,260 kg",1,SUV,"Features Sensual surfaces, muscular forms and clear lines define the design of the New GLE450 Producing 383bhp 6-cylinder in-line Turbocharged Engine. View specs of the Mercedes-Benz GLE450","Accessories Iconic 20"" AMG Forged Rims. Mercedes me connect. MBUX Multimedia System. Design Packages. AMG Line Exterior with AMG Bodystyling. 360-degree camera.",Description With $160k saving from brand new. Own the roads with cutting-edge drive systems offering better control and agility. Redefine your limits with a drive that is more powerful and athletic than ever GLE 450 4matic. It is hard to imagine a more elegant and dynamic expression of power. Too many features to be list out on this C&C unit. Call us now for a non obligation viewing today!,"CategoryPARF Car, Premium Ad Car, Low Mileage Car, Hybrid Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Audi RS 3 Sedan 2.5A TFSI Quattro S-tronic,"$368,888","$36,770",25-Feb-2022,2021,"11,000 km (9.7k /yr)","$1,776 /yr",Auto,"$147,430","$63,319","$93,590","$85,975","2,480 cc",294.0 kW (394 bhp),"1,650 kg",1,Sports Car,Features 2.5L In-line 5 Turbocharged Engine. 7 Speed S-Tronic Transmission. 394 Bhp & 500 Nm Of Torque. 0-100 In 3.8s! RS Torque Splitter AWD Drifting! View specs of the Audi RS,Accessories Kyalami Green. Carbon Spoiler & Mirror. Carbon Engine Cover.,Description High options. Limited stock. 5 years agent warranty. High loan and trade in available. Massive savings!,"CategoryPARF Car, Rare & Exotic, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mercedes-Benz A-Class A180,"$76,777","$17,360",17-Mar-2017,2016,"66,000 km (10.8k /yr)",$740 /yr,Auto,"$31,314","$21,846","$50,789","$17,585","1,595 cc",90.0 kW (120 bhp),"1,395 kg",1,Hatchback,"Features 4 cylinder inline turbocharged, 7G-DCT auto front wheel drive, 50l fuel tank, consumption 17.5km/l.9.1s 0-100 km/h. Co2 emission 131g/km. View specs of the Mercedes-Benz A-Class","Accessories Multi function steering, auto headlights, rain sensing, electrical retractable side mirrors, paddle shifters, cruise control, Bluetooth.","Description Travel in style and make heads turn in this striking sporty imp, kept in beautiful almost new condition by sole owner. Ultra smooth easy handling and good fuel efficiency makes it a lovely drive. 100% loan and high trade in available, call for a no obligation test drive and viewing today!","CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mitsubishi Attrage 1.2A Sports,"$65,800","$11,160",17-Dec-2018,2018,"73,000 km (16.8k /yr)",$506 /yr,Auto,"$17,116","$13,325","$23,568","$5,000","1,193 cc",59.0 kW (79 bhp),940 kg,2,Mid-Sized Sedan,"Features 1.2L DOHC 12 valves MIVEC engine, Invecs-III CVT auto transmission, traction control, keyless entry, push start/stop, steering control. View specs of the Mitsubishi Attrage (2014-2022)","Accessories Factory original full bodykit, leather seats, sports rims, jvc DVD player with steering controls, reverse sensors/camera, solar films, fog lights.","Description 100% loan available. Low mileage done! 100% Accident-Free. Not PHV/Leasing Car, If Not Money Back. No repairs needed! Car superbly well maintained. We provide lowest interest rate. High trade in are available, fast and easy loan approval! All our vehicles has undergone a full check provided by own workshop, peace of mind! Meet our friendly consultant for a non obligation advice!",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
BMW 8 Series 840i Gran Coupe M-Sport Sunroof,"$369,800","$35,030",11-Feb-2022,2020,"27,680 km (23.5k /yr)","$2,384 /yr",Auto,"$167,025","$82,994","$86,102","$121,390","2,998 cc",245.0 kW (328 bhp),"1,875 kg",1,Luxury Sedan,"Features 6-Cylinder In-Line TwinPower Turbocharged, 500nm engine torque at 1,700-4,000/min, Top speed 250kmh and 0 to 100kmh in 5.2 seconds.","Accessories BMW touch command, BMW display key, Harman Kardon system, BMW live cockpit professional, 20"" m light alloy wheels y-spoke style, Sunroof.",Description 1 owner excellent condition. Fully stock with ceramic coating since day 1. Accident free. Full inspection at your preferred workshop. Loan and trade in welcome. Call now for appt to view this beautiful sporty Coupe.,"CategoryPARF Car, Rare & Exotic, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Volvo S90 T5 Momentum,"$162,800","$18,220",16-Dec-2020,2019,"43,000 km (18.4k /yr)","$1,176 /yr",Auto,"$69,099","$38,681","$45,510","$46,154","1,969 cc",187.0 kW (250 bhp),"1,695 kg",2,Luxury Sedan,"Features 4 cylinder inline 16 valves turbocharged, front wheel drive, 8 speed (A) geartronic, fuel consumption 14.9 km/l, fuel tank 55l. View specs of the Volvo S90 (2016-2021)","Accessories Original factory condition, 18"" rims, multi function steering, keyless entry/start, high performance audio, rain sensors, reverse camera, etc",Description Agent Maintained With Warranty And Servicing Packages With Wearnes. As Good As New. Trade In/Flexible Loan Available. Call Now To View! View To Believe. Sunday/PH viewing via appointment only.,CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mercedes-Benz E-Class E280T (COE till 05/2027),"$88,000","$21,340",06-Jun-2007,2006,"198,000 km (12.5k /yr)","$3,573 /yr",Auto,N.A.,"$65,278","$52,491","$71,806","2,997 cc",170.0 kW (227 bhp),"1,735 kg",6,Stationwagon,Features Silky smooth 3.0 litre V6 engine producing 228Bhp and 300Nm of torque. 7 speed automatic transmission.,NA,Description Rare and collectable W211 E280 touring. Silky smooth V6 engine. Car currently under layup status. New owner will need to pay road tax. Make an appointment to view now!,CategoryCOE Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Honda Vezel 1.5A X Honda Sensing,"$53,800","$14,500",26-Aug-2016,2016,"75,000 km (11.3k /yr)",$682 /yr,Auto,"$24,613","$20,127","$55,100","$10,178","1,496 cc",96.0 kW (128 bhp),"1,190 kg",2,SUV,"Features Powerful And Reliable 1.5L DOHC I-VTEC Engine, Efficient CVT Auto Transmission, Keyless Entry/Start/Stop, Cruise Control, ABS, CTBA. View specs of the Honda Vezel 2014 (2014)","Accessories Full Leather Seats, DRL LED Headlights, Pioneer DVD Player, BT, Reverse Camera/Sensors, Alloy Sport Rims, Rear Knockdown Seats. Solar Film.","Description Confirmed Non PHV Unit! Safest Japanese Manufacture Honda Vezel To Buy Now! Low Maintenance! Spacious And Comfort Cabin Space! Superb Well Maintained By Seller! Low Mileage Done! Low Usage! Low Down Payment! Flexible Loan And Instalment Available! Come View And We Discuss Further, Thanks!","This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair BillsComprehensive Vehicle Inspection","CategoryPARF Car, Premium Ad Car, Sgcarmart Warranty Cars"
Mercedes-Benz E-Class E250,"$82,988","$21,340",04-Nov-2015,2015,"108,000 km (14.5k /yr)","$1,202 /yr",Auto,"$49,573","$46,510","$60,001","$57,114","1,991 cc",155.0 kW (207 bhp),"1,680 kg",1,Luxury Sedan,"Features 2.0L turbocharged engine, 207bhp, 7G-tronic, keyless entry, ABS, airbags, multi function steering wheel, cruise control, LED headlights. View specs of the Mercedes-Benz E-Class Saloon","Accessories Both side Electric memory seats, sports rims, reverse camera, Bluetooth interface, auto tailgate.","Description 1 Owner Executive Brown E-Class. Classic, Elegance that never go out of trend. Pair with spacious legroom & boot space. Great for short-term business or casual drive to experience the Evergreen e-Class. SGCM 2022 & 2023 Premium Dealer, backed with 900+ positive reviews online. Deal with your peace of mind today.","CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mercedes-Benz E-Class E200 Avantgarde,"$120,800","$21,240",30-May-2017,2017,N.A.,"$1,202 /yr",Auto,"$68,886","$52,579","$54,000","$66,643","1,991 cc",135.0 kW (181 bhp),"1,605 kg",1,Luxury Sedan,"Features 2.0L 4 cylinders turbocharged engine, 181bhp, 9G-tronic, paddle shifters, LED headlights, dynamic select, keyless go, steering touch control buttons. View specs of the Mercedes-Benz E-Class Saloon 2016 (2016-2021)","Accessories Factory fitted audio system, navigation, suction door, Bluetooth, 360 camera, electric seats, touchpad, side/rear roller blinds, 18"" rims.","Description C&C unit, very well maintained green unit. Come view and this elegantly styled unit today! 100% loan/bank loan all are welcome. Competitive trade in available, call now for a no obligation test drive and viewing today.",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Prius Hybrid 1.5A (COE till 08/2028),"$56,800","$10,620",22-Aug-2008,2008,"178,652 km (12.2k /yr)","$1,023 /yr",Auto,"$18,298","$25,396","$34,197","$15,238","1,496 cc",57.0 kW (76 bhp),"1,260 kg",More than 6,Hatchback,"Features 4 cylinder inline 16 valve DOHC VVTI, super fuel efficient, airbag, keyless entry, knockdown rear seat. View specs of the Toyota Prius Hybrid 2009 (2004-2009)","Accessories Auto climate aircon, factory audio system, multi steering controls, leather seats.","Description New paintwork! Hybrid Battery recently replaced! Bidded 3 digit carplate included. Pristine condition. Original JDM unit, best selling hybrid in the world! Well known for its fuel economy ratings! Reliability assured with Toyota multi award winning car! Flexible loans can be customised to suit your needs! Appointments for viewings are open, contact us now!","CategoryCOE Car, Hybrid Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Corolla Hybrid 1.8A Ascent Sport,"$120,000","$14,450",02-Mar-2021,2019,"35,000 km (16.5k /yr)",$976 /yr,Auto,"$48,690","$25,216","$50,100","$12,303","1,798 cc",90.0 kW (120 bhp),"1,360 kg",1,Mid-Sized Sedan,Features 1.8L 4 cylinders VVT-i engine with Toyota Hybrid system. CVT transmission Producing 120bhp and 200nm of Torque.,"Accessories 4.2"" multi information display. Drive mode select. Dual-zone automatic climate control air conditioning. Smart entry and start system. Bluetooth.",Description Trade in accepted. STA/workshop checks welcome. Flexible loan. Lowest interest rates in town! Competitive insurance rates! Call us today!,"This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair BillsComprehensive Vehicle Inspection","CategoryPARF Car, Premium Ad Car, Hybrid Cars, Sgcarmart Warranty Cars"
Porsche Boxster Spyder 3.4A PDK (COE till 07/2030),"$305,000","$41,880",28-Jul-2010,2010,"51,000 km (4k /yr)","$3,988 /yr",Auto,"$24,445","$90,479","$33,568","$90,479","3,436 cc",235.0 kW (315 bhp),"1,375 kg",4,Sports Car,"Features 3.4 Liter Capacity. This Unit Features Double Overhead Camshaft Valve Gear, 6 Cylinders Layout, And 4 Valves Per Cylinder. View specs of the Porsche Boxster (2005-2012)","Accessories It Develops 315Bhp 320 PS/236 KW Of Power At 7200 Rpm, And Maximum Torque Of 370 Nm 273 Lbft/37.7 Kgm At 4750 Rpm.","Description Stuttgart Unit. Low Mileage 51000km, Rare Collection. Light Weight Spyder With 3.4L S Engine. Worldwide Less Than 700 RHD Units, Nice Paintwork With Ceramic Coating Protection. Viewing By Appointment Only.","CategoryCOE Car, Rare & Exotic, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Lexus ES250 Executive Sunroof,"$160,800","$20,350",03-Jan-2020,2019,"51,000 km (15.5k /yr)","$1,784 /yr",Auto,"$60,317","$40,126","$36,000","$48,177","2,487 cc",152.0 kW (203 bhp),"1,620 kg",2,Luxury Sedan,"Features 2.5L 4 cylinder inline DOHC dual VVT-I engine, 8 speed auto transmission, 181bhp, cruise control, multi function steering, keyless entry/start.","Accessories Original sports rim, Panoramic Sunroof, factory fitted audio system with Bluetooth interface and navigation reverse camera, front n rear recording cam","Description Latest arrival! Elegant white Original paintwork. drive home with confidence with 5 years agent warranty and full service history, low mileage done impressive interior condition, no repairs/touch up required! Interest from 2.78%, do not miss! Call for viewing/test drive now!",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Volkswagen Passat 1.8A TFSI,"$54,800","$14,940",30-Dec-2015,2015,"94,000 km (12.9k /yr)",$976 /yr,Auto,"$34,069","$29,840","$62,140","$28,776","1,798 cc",132.0 kW (177 bhp),"1,480 kg",2,Luxury Sedan,"Features Powerful 1.8L DOHC turbochared engine, 7 speed DSG, bluemotion technology, keyless entry/start, auto start/stop, LED daytime running lights. View specs of the Volkswagen Passat (2005-2011)","Accessories Leather seats, sport rim, factory fitted audio system with Bluetooth, multi function steering wheel, EPB with auto hold function, park assist.",Description Fully agent maintained with full service records available! Buy with a peace of mind! Flexible loan schemes includes $0 driveaway available! Low interest rates fr 2.78%! Monthly fr $9xx only! Extremely well maintained original paintwork by previous owner! High trade in available! STA/Vicom inspection welcome! Best condition for short term drive to monitor the current COE! Call us today to enquire!,"CategoryPARF Car, Premium Ad Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Hyundai Avante 1.6A S,N.A,N.A,01-Dec-2020,2020,N.A.,$742 /yr,Auto,N.A.,"$18,693","$37,690","$8,693","1,598 cc",90.2 kW (120 bhp),"1,280 kg",1,Mid-Sized Sedan,"Features New Model 1.6L Engine With Fuel Consumption of 18.5km/L, Latest 7 Speed Intelligent Variable Transmission, Long Wheel Base with 474L Boot, 16"" Rims View specs of the Hyundai Avante","Accessories Forward, Rear And Blind Spot Active Collision Avoidance, Active Lane Keeping Assist, Digital Speedometer, Apple Car Play And Android Auto","Description Driver Powered Seat, Wireless Charger, Dual Zone Climate Control, Rear Air Con, Electronic Brake, Auto Hold. Agent Unit With 5 Yr Warranty And Free Service. Experience This Stunning Model Designed by One Of Lamborghini's Designers, Largest Sedan In It's Category with Amazing Leg Room. Zero Dents Or Scratches, 100% Accident Free, Interest Fr 2.78%, Full Loan Available, High Trade In, Call Us Now","CategoryPARF Car, Premium Ad Car, Low Mileage Car",SOLD
Lamborghini Gallardo LP570-4 Superleggera (COE till 08/2029),"$308,000","$48,290",13-Jun-2011,2011,"76,000 km (6.4k /yr)","$7,001 /yr",Auto,"$25,472","$251,523","$39,936","$251,523","5,204 cc",412.0 kW (552 bhp),"1,500 kg",6,Sports Car,"Features 5.2l V10 Engine Producing 552bhp, 540nm Of Torque. 0 To 100km/h In 3.2s. View specs of the Lamborghini Gallardo",NA,"Description Matt Black Painted, Cheapest LP570 Superleggera In The Market. Lighter Of 100kg From Normal Gallardo. Full Carbon Interior N Alcantara Dashboard. Loan N Trade In Avail.","CategoryCOE Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Hyundai Avante 1.6A S (COE till 03/2026),"$30,988","$10,680",12-Mar-2011,2010,"137,000 km (11.3k /yr)",$959 /yr,Auto,"$12,011","$10,476","$20,699","$10,476","1,591 cc",89.7 kW (120 bhp),"1,264 kg",2,Mid-Sized Sedan,Features View specs of the Hyundai Avante (2007-2011),Accessories Multi functions Android touchscreen player.,"Description 1 owner, one of the best sedan selling model, road tax till Sep, new paintwork, nice condition with servicing record, lowest depreciation, no more worries about car transfer of ownership, immediate transfer can be done when you collect the vehicle! Full loan available! In house loan and bank loan available! Monthly $1k plus, call or WhatsApp for viewing and test drive.",CategoryCOE Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Isuzu NQR75U,"$85,800","$13,560",13-Aug-2019,2018,"22,500 km (6.1k /yr)",N.A.,Auto,N.A.,"$43,178","$27,400","$2,159","5,193 cc",1,"4,640 kg",1,Truck,,,,,
Audi A3 Sportback 1.4A TFSI S-tronic Ambition (New 10-yr COE),"$159,999","$15,990",27-Aug-2013,2013,N.A.,$624 /yr,Auto,N.A.,"$27,935",N.A.,"$16,109","1,395 cc",90.0 kW (120 bhp),"1,300 kg",3,Hatchback,"Features 1.4L TFSI 4 cylinders turbocharged abt power eng control stage 1 160bhp by abt ag, virtual cockpit, high specs with full drive assist available. View specs of the Audi S3 Sportback (2009-2013)","Accessories S3 suspension with Eibach lowering spring,Bastuck exhaust LTA approved,Forged rims,S3 full brake kit,RS3 power steering rack,car serviced very 7500km.","Description FL S3 genuine bodykit w RS3 genuine grille and spoiler, matrix LED headlights,maxton full kit,RS3 styling red package w black headlining,RS3 genuine CF insert, genuine 30 colours ambient lights,sports Alcantara seat,CF steering wheel w ori Urus paddle shifters & R8 buttons, genuine RS3 virtual cockpit, Mib2 w Google earth maps, B&O sounds system. Rare vehicle, over 82k spent. Pm for full mod list.","CategoryCOE Car, Direct Owner Sale",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
MINI One 1.2A 5DR,"$82,800","$16,260",08-Dec-2017,2017,"64,600 km (12.1k /yr)",$508 /yr,Auto,"$29,580","$23,252","$41,761","$14,553","1,198 cc",75.0 kW (100 bhp),"1,175 kg",1,Hatchback,"Features 1.2L TwinPower turbocharged engine, 6 speed, 6 x airbags, keyless start, cruise control, auto engine start/stop, auto rain sensors, LED DRL, ISOFIX. View specs of the MINI One","Accessories Keyless start/stop, dual climatic aircon, reverse sensors, knockdown rear seats, fog lamp, Mini visual boost with LCD screen, Bluetooth.","Description One owner, low mileage, accident free! 1 year free servicing! Well maintained, excellent condition! Trade in, STA inspection, all welcomed! High/flexible/bank loan with competitive interest rates tailored to suit your needs! View to believe, pity to miss! Please contact salesperson to find out more, or make an appointment to view/test drive this beauty before it's sold!",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Porsche Cayenne 3.6A Tip Sunroof,"$188,000","$37,280",05-Feb-2016,2015,N.A.,"$3,322 /yr",Auto,"$110,931","$108,239","$38,610","$166,831","3,598 cc",220.0 kW (295 bhp),"2,115 kg",2,SUV,Features 3.6L V6 engine producing 295bhp paired with a 8 speed (a) Tiptronic S-transmission with paddle shifters. AWD. 0-100km/h in 7.6 secs. View specs of the Porsche Cayenne (2010-2015),NA,"Description A reluctant sale, as my father is unable to drive anymore due to his condition. Fully stock, fully agent serviced till 2021. Recent wear and tear fixed up with receipts. No negotiable please, priced slightly below current market. SG50 Edition featuring full Panoramic Sunroof with higher ARF valuation.","CategoryPARF Car, Direct Owner Sale",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Mercedes-Benz E-Class E200,"$62,000","$23,370",10-Dec-2014,2014,"140,000 km (16.8k /yr)","$1,202 /yr",Auto,"$37,636","$42,793","$72,003","$46,911","1,991 cc",135.0 kW (181 bhp),"1,655 kg",3,Luxury Sedan,"Features 2.0L 4 cylinder turbocharged engine producing 181bhp, 7G-tronic plus auto transmission with paddle shifter, ESP, ABS, SRS airbags, keyless start/stop. View specs of the Mercedes-Benz E-Class Saloon","Accessories Auto tailgate, keyless go function with keyless entry, electric seats with memory function, reverse camera, contactless boot. Electric roller blinds.","Description Engine overhauled few weeks ago with receipts to prove. Wear and tear fully done up. Accident free in original paintwork still intact. Warranty given till end of COE. Perfect for family and daily use, buy with a safe piece of mind. WhatsApp/call now before it's gone! Bank and in-house loan options available.","This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair BillsComprehensive Vehicle Inspection","CategoryPARF Car, Sgcarmart Warranty Cars"
Honda Civic 1.5A VTEC Turbo,"$142,888","$14,750",07-Jan-2022,2021,"7,000 km (5.5k /yr)",$684 /yr,Auto,"$72,571","$25,947","$58,801","$28,326","1,498 cc",95.0 kW (127 bhp),"1,284 kg",1,Mid-Sized Sedan,"Features 1.5L 4 Cylinder Inline Turbocharged Engine, CVT Transmission, 127bhp, 180nm Torque, LED DRL, Keyless Entry/start/stop, 6 x SRS Airbags, Honda Sensing. View specs of the Honda Civic (2021)","Accessories Leather Seats, Sports Rims, 7"" LCD Display, Android Auto Apple Play, Reverse Cam, Wireless Charging, Multi Function Steering, Knockdown Rear Seats","Description Latest New Facelift Model With Spoiler, Purchase With Confidence And Assurance, Low Depreciation, Cheaper Price In The Market, As Good As New, Fully Agent Maintained (Kah Motor) Since Day 1, Agent Warranty Till Jan 2027,original Platinum Pearl White, 100% Accident Free! Banks/in House 100% Loan Available With Easy Approval, Contact Us Now For More Enquires And Discussions.","CategoryPARF Car, Premium Ad Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
